subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,context_size,training_seed_count,context_draws_per_training_seed,peak_mae_percentage_points_mean_of_seed_means,peak_mae_percentage_points_sd_across_seed_means,peak_mae_percentage_points_mean_context_sd_within_seed,continuum_mae_percentage_points_mean_of_seed_means,continuum_mae_percentage_points_sd_across_seed_means,continuum_mae_percentage_points_mean_context_sd_within_seed,sparse_tail_mae_percentage_points_mean_of_seed_means,sparse_tail_mae_percentage_points_sd_across_seed_means,sparse_tail_mae_percentage_points_mean_context_sd_within_seed,global_brier_mean_of_seed_means,global_brier_sd_across_seed_means,global_brier_mean_context_sd_within_seed,equal_region_brier_mean_of_seed_means,equal_region_brier_sd_across_seed_means,equal_region_brier_mean_context_sd_within_seed,inference_seconds_mean_of_seed_means,inference_seconds_sd_across_seed_means,inference_seconds_mean_context_sd_within_seed,peak_memory_mib_mean_of_seed_means,peak_memory_mib_sd_across_seed_means,peak_memory_mib_mean_context_sd_within_seed
full_n18866,original,18.9k,18866,18836,CNP,m0,500,3,10,7.993373282596418,0.34858852760049286,0.04402085601841801,4.585335300822202,0.022054854431297836,0.07128329878996181,8.438205797362627,1.0585975618283214,0.22609468535392474,0.23312316145635728,0.0018837501489878303,0.0002487184714901248,0.20605359005165194,0.0007766900698472732,0.0001944738993040783,0.1841143568356832,0.0019964217220627906,0.0025747155451284636,226.38232421875,0.0,0.0
full_n18866,original,18.9k,18866,18836,Attentive CNP,m1,500,3,10,8.245080586830714,0.32120731487428617,0.024884808080106628,5.533277345664222,0.6987334735613197,0.03991856778854105,7.814261165136831,1.0281846327893827,0.06058236571243684,0.2323377589596889,0.0014005177037734865,2.7488201012427005e-05,0.20657044259234958,0.0006966803792216705,4.128119965839043e-05,0.2752210940079142,0.0011000156773018624,0.003379012066219104,821.62744140625,0.0,0.0
full_n18866,original,18.9k,18866,18836,Attentive CNP + PE,m2,500,3,10,5.996050425376527,1.0779570013491184,0.46801772321862695,7.379996005228072,0.8645093062068547,0.7542098683413784,23.24683771189753,1.2117130574874035,0.9447038785876455,0.2292065755313943,0.0007934368746716149,0.0006688815390299996,0.20205991102659301,0.0010888717976852936,0.0002984442936462008,0.33156008437896767,0.000351979689216249,0.0018556262372533766,821.63671875,0.0,0.0
full_n18866,original,18.9k,18866,18836,Density-guided CNP (ours),ours,500,3,10,3.5565860653454764,0.33220474658131,0.16412399099417035,4.072397312596024,0.10909678675255599,0.05198663754531221,14.701375968868163,1.9581971578712023,5.284722472697046,0.22367321218326178,0.00021087328384776957,7.333239035586814e-05,0.1913782978425318,0.0007315488440343187,0.0025217119686534446,10.32727372155835,0.004400381497578015,0.005960080226518421,6726.35791015625,0.0,0.0
original_n2000,original,2k,2000,1895,CNP,m0,500,3,10,8.109126024495103,0.32920193216282445,0.11806647183050901,4.4733260124240575,0.5643460906076011,0.17306378605829387,7.443811547449475,0.3631726102941474,0.35547173265790244,0.23151262251535323,0.0015841956979487,0.00012762321426807656,0.20684305407638645,0.0020617498317935697,0.00014431707586088426,0.18711145035922525,0.0011528948428710202,0.0012674615307136762,226.38232421875,0.0,0.0
original_n2000,original,2k,2000,1895,Attentive CNP,m1,500,3,10,8.037016492918134,0.11655546652628981,0.042309683102678596,4.831805567386907,0.8555382722213345,0.03173753137493654,10.436477270907934,0.5634186426354798,0.1748205976314223,0.2318411616971486,0.0009253416148491066,7.694299226067629e-05,0.20817126127732974,0.00040867644322411254,0.00011636946534169791,0.27560261146475873,0.00018285819909426038,0.0010212283544973756,821.62744140625,0.0,0.0
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,500,3,10,13.770704676856809,2.617123022846665,0.3593119638599884,16.648505574080904,0.40159202488865453,0.36153223057281686,30.884519884442636,6.752684740896847,1.7200863074350066,0.28417787831660163,0.0017361845902040503,0.0014057174260108437,0.26758577050354404,0.008908246213957482,0.0024843986680403857,0.33583795504334074,0.0027660475979885937,0.005044430052530714,821.63671875,0.0,0.0
original_n2000,original,2k,2000,1895,Density-guided CNP (ours),ours,500,3,10,9.40195262155006,1.5881774108908722,0.49454721166747717,12.888382595130716,1.0536834914106123,0.18904261821265436,10.796277517438092,2.4149127434513065,7.903029667932317,0.2443828933734226,0.003309796826679939,0.00034426072281761207,0.20769325958766505,0.0028911554149931417,0.004551070970484922,1.5830658445755639,0.0030319455378918655,0.004465792484411999,3922.55908203125,0.0,0.0
original_n5000,original,5k,5000,4984,CNP,m0,500,3,10,7.535666979336823,0.09191182134321121,0.14166220977213842,5.208057328239026,0.4870396141585724,0.1640692331379016,8.827140945965242,1.476352673629253,0.26962240565919704,0.23149333528724267,0.0015305476008679966,0.00017376031605453954,0.20572551963646868,0.0012639840893071605,0.00013839584016139554,0.18486466440372165,0.0045985416965546155,0.002899498112286089,226.38232421875,0.0,0.0
original_n5000,original,5k,5000,4984,Attentive CNP,m1,500,3,10,7.730786305268238,0.8166502207687502,0.03213972733696433,5.941305959289227,0.6761622068180129,0.023243532786910024,11.907508800396352,3.4427042906258185,0.11818288960424507,0.23142450891758345,0.0022633873815275846,5.091310802605352e-05,0.20737997969091695,0.002524758810659161,5.831743373355314e-05,0.2805616204161197,0.0011746998743904678,0.0033737436561934978,821.62744140625,0.0,0.0
