subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,region,event_count,cell_count,training_seed_count,context_count,source_event_predictions_sha256_count,source_event_predictions_sha256_set_sha256,source_curve_sha256_count,source_curve_sha256_set_sha256,empirical_fraction_cell_mean,empirical_fraction_cell_sd,empirical_fraction_mean_of_seed_means,empirical_fraction_initialization_sd_across_seed_means,empirical_fraction_mean_context_sd_within_seed,mean_prediction_cell_mean,mean_prediction_cell_sd,mean_prediction_mean_of_seed_means,mean_prediction_initialization_sd_across_seed_means,mean_prediction_mean_context_sd_within_seed,empirical_standard_error_cell_mean,empirical_standard_error_cell_sd,empirical_standard_error_mean_of_seed_means,empirical_standard_error_initialization_sd_across_seed_means,empirical_standard_error_mean_context_sd_within_seed,reference_only_z_cell_mean,reference_only_z_cell_sd,reference_only_z_mean_of_seed_means,reference_only_z_initialization_sd_across_seed_means,reference_only_z_mean_context_sd_within_seed,reference_only_G1_cell_mean,reference_only_G1_cell_sd,reference_only_G1_mean_of_seed_means,reference_only_G1_initialization_sd_across_seed_means,reference_only_G1_mean_context_sd_within_seed,reference_only_G2_cell_mean,reference_only_G2_cell_sd,reference_only_G2_mean_of_seed_means,reference_only_G2_initialization_sd_across_seed_means,reference_only_G2_mean_context_sd_within_seed,reference_only_G3_cell_mean,reference_only_G3_cell_sd,reference_only_G3_mean_of_seed_means,reference_only_G3_initialization_sd_across_seed_means,reference_only_G3_mean_context_sd_within_seed,pointwise_sd_proxy_cell_mean,pointwise_sd_proxy_cell_sd,pointwise_sd_proxy_mean_of_seed_means,pointwise_sd_proxy_initialization_sd_across_seed_means,pointwise_sd_proxy_mean_context_sd_within_seed,combined_proxy_full_width_pp_cell_mean,combined_proxy_full_width_pp_cell_sd,combined_proxy_full_width_pp_mean_of_seed_means,combined_proxy_full_width_pp_initialization_sd_across_seed_means,combined_proxy_full_width_pp_mean_context_sd_within_seed,combined_proxy_z_cell_mean,combined_proxy_z_cell_sd,combined_proxy_z_mean_of_seed_means,combined_proxy_z_initialization_sd_across_seed_means,combined_proxy_z_mean_context_sd_within_seed,combined_proxy_G1_cell_mean,combined_proxy_G1_cell_sd,combined_proxy_G1_mean_of_seed_means,combined_proxy_G1_initialization_sd_across_seed_means,combined_proxy_G1_mean_context_sd_within_seed,combined_proxy_G2_cell_mean,combined_proxy_G2_cell_sd,combined_proxy_G2_mean_of_seed_means,combined_proxy_G2_initialization_sd_across_seed_means,combined_proxy_G2_mean_context_sd_within_seed,combined_proxy_G3_cell_mean,combined_proxy_G3_cell_sd,combined_proxy_G3_mean_of_seed_means,combined_proxy_G3_initialization_sd_across_seed_means,combined_proxy_G3_mean_context_sd_within_seed,empirical_fraction_training_subset_sd_across_subset_means,mean_prediction_training_subset_sd_across_subset_means,empirical_standard_error_training_subset_sd_across_subset_means,reference_only_z_training_subset_sd_across_subset_means,reference_only_G1_training_subset_sd_across_subset_means,reference_only_G2_training_subset_sd_across_subset_means,reference_only_G3_training_subset_sd_across_subset_means,pointwise_sd_proxy_training_subset_sd_across_subset_means,combined_proxy_full_width_pp_training_subset_sd_across_subset_means,combined_proxy_z_training_subset_sd_across_subset_means,combined_proxy_G1_training_subset_sd_across_subset_means,combined_proxy_G2_training_subset_sd_across_subset_means,combined_proxy_G3_training_subset_sd_across_subset_means
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,Overall,114400,30,3,10,30,3420678c6aef4ba5631c5896c9c4ab0572792f871abd51f6748307ce8594a42a,30,65876debd2fa276bb0abd687f6cdb93df7a148738549e9cab1c011ca87418ade,0.40160839160839157,5.646012854083702e-17,0.4016083916083916,0.0,0.0,0.43567579845601195,0.024454741457647193,0.4356757984560118,0.02894257866864468,0.0036169489662798153,0.0014493761962910486,0.0,0.0014493761962910488,2.655742100606481e-19,0.0,-23.50487536279305,16.87259768735463,-23.504875362793047,19.96898993008767,2.4955211597482982,0.04423400213804694,0.12951236107604353,0.044234002138046936,0.07661553912520765,0.06749771662935639,0.0920023243497299,0.2447376791601248,0.0920023243497299,0.15935270018816347,0.12318478317495261,0.1272334242747609,0.31649905558595415,0.1272334242747609,0.22037475526485323,0.1545074714824676,0.026554590029795138,0.00031290609031937557,0.026554590029795138,0.0002446129414196103,0.00022768047247290367,5.318824013558139,0.06248885454822933,5.318824013558138,0.048850263192653,0.045468782560737636,-1.2879546551148013,0.9227153539482036,-1.2879546551148013,1.0918713088823526,0.14227463003832364,0.3401150501678075,0.2338829337457242,0.34011505016780746,0.2809109524208175,0.017241275132017782,0.6703172043683147,0.19953745992591748,0.6703172043683147,0.23882625897533954,0.020667188303458362,0.9052612714633689,0.06652436724397306,0.9052612714633691,0.0787588767310333,0.01054472009803345,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,FE,8522,30,3,10,30,3420678c6aef4ba5631c5896c9c4ab0572792f871abd51f6748307ce8594a42a,30,65876debd2fa276bb0abd687f6cdb93df7a148738549e9cab1c011ca87418ade,0.2028866463271532,5.646012854083702e-17,0.20288664632715325,0.0,0.0,0.2107035149062398,0.011552286509281556,0.21070351490623976,0.011442274910096839,0.006668987709649851,0.0043562822355108725,1.7643790169011568e-18,0.004356282235510871,0.0,0.0,-1.7943898389700659,2.6518682410224494,-1.7943898389700657,2.626614689200678,1.530889724106171,0.16712646756997604,0.22201539424062489,0.16712646756997598,0.13919151783395978,0.16928949392293738,0.3576293946638989,0.3436798362000843,0.35762939466389887,0.2367400736808742,0.2731295949436359,0.5627724914861167,0.36735299877084027,0.5627724914861169,0.25236806594876815,0.3114668385957789,0.06928578431459903,0.006579440614479898,0.06928578431459903,0.007713882266982117,0.0012259858267358807,13.884757266393052,1.313291183055118,13.884757266393057,1.5397036281247316,0.24476236186672673,-0.10192991740518048,0.16765293983906981,-0.1019299174051805,0.16064088294666934,0.10165147913699912,0.6737035839257508,0.008215769490179454,0.673703583925751,0.004570156026552015,0.007426400985862819,0.9504214050154444,0.00376457154935629,0.9504214050154444,0.00209424600238947,0.0033980490976221883,0.9967837167359179,0.00048430633778838444,0.9967837167359178,0.0002694353365567213,0.00043609762471330456,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,SE,1356,30,3,10,30,3420678c6aef4ba5631c5896c9c4ab0572792f871abd51f6748307ce8594a42a,30,65876debd2fa276bb0abd687f6cdb93df7a148738549e9cab1c011ca87418ade,0.2175516224188791,5.646012854083702e-17,0.21755162241887901,0.0,2.925694557147251e-17,0.5320954388996171,0.033744201616722716,0.532095438899617,0.040301112032630225,0.0033153287369180333,0.01120415647963741,1.7643790169011568e-18,0.011204156479637411,2.1245936804851847e-18,1.828559098217032e-18,-28.073850722488057,3.011757438237309,-28.07385072248806,3.596978684283278,0.2959016810362618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017808745511627748,0.001809001907429283,0.01780874551162775,0.002159577658017182,0.00018941973449458082,4.2122063534319825,0.30721563752295905,4.212206353431982,0.3665882846829335,0.03267034139546449,-15.107266611084253,2.5222369558649476,-15.10726661108425,3.01757356656335,0.20615778104966678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.993503655170206e-16,5.551115123125783e-17,9.614813431917819e-17,1.0929556732905317e-16,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,DEP,828,30,3,10,30,3420678c6aef4ba5631c5896c9c4ab0572792f871abd51f6748307ce8594a42a,30,65876debd2fa276bb0abd687f6cdb93df7a148738549e9cab1c011ca87418ade,0.7705314009661838,2.2584051416334807e-16,0.7705314009661836,1.3597399555105182e-16,1.1702778228589004e-16,0.5508098936334325,0.016697883937482817,0.5508098936334324,0.019648527473599277,0.002893214320387886,0.014613075719857616,5.2931370507034704e-18,0.014613075719857621,0.0,0.0,15.03595215305515,1.1426673109475622,15.035952153055149,1.3445853460472423,0.1979880468597254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019623859343635325,0.0038834086752240456,0.019623859343635325,0.004661805317256189,0.00022450047495011557,4.913495849481626,0.6320727304972814,4.9134958494816265,0.7584955694049592,0.03781030336030546,9.004175548232098,0.5465425624621255,9.0041755482321,0.6542460093162855,0.060454324115594184,2.7977620220553945e-14,4.7297873291377913e-14,2.7977620220553945e-14,4.740496309347182e-14,1.585005799734624e-14,3.0944097284546504e-11,4.963501531746911e-11,3.0944097284546504e-11,5.1608151543070945e-11,1.525494483232349e-11,1.3019638491392389e-08,1.9656196694852692e-08,1.301963849139239e-08,2.1148024295291183e-08,5.448794330217076e-09,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,feature,790,30,3,10,30,3420678c6aef4ba5631c5896c9c4ab0572792f871abd51f6748307ce8594a42a,30,65876debd2fa276bb0abd687f6cdb93df7a148738549e9cab1c011ca87418ade,0.3341772151898734,0.0,0.3341772151898734,0.0,0.0,0.5496542797423868,0.017565783221142398,0.5496542797423868,0.020708735290891848,0.0029119335502615206,0.016782405043235256,0.0,0.016782405043235256,0.0,0.0,-12.839462758609146,1.0466785407627206,-12.839462758609145,1.2339551594387956,0.1735110994377578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.771561172376095e-17,2.721823280616576e-16,7.771561172376097e-17,1.3460738804684948e-16,1.4849160899213608e-16,0.01962799321994505,0.00381139502422387,0.019627993219945055,0.004574990929050915,0.00022353420963134053,5.186796275955519,0.5888043162002725,5.18679627595552,0.7064552743734563,0.03600155844695582,-8.47336574168514,1.5073977005492738,-8.47336574168514,1.802828104419537,0.14143138674288433,2.7393242700105937e-08,7.06059413864148e-08,2.739324270010594e-08,4.744648807334505e-08,3.5056811982404314e-08,3.404427575596595e-06,8.04020192661083e-06,3.404427575596595e-06,5.896641341911955e-06,3.815648426630123e-06,0.00016798584998302854,0.0003573220609319994,0.00016798584998302854,0.00029095984148662065,0.00015750919633562428,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,Overall,114400,30,3,10,30,a8a3d9ab0e72bf7ebc40c47a8252dd5988d8cd11ec19c08aec0ec026bad47dee,30,efc47f340595e3335e9a46a0dec92314e59b2927d5daeed0175f4ec284fe97e5,0.40160839160839157,5.646012854083702e-17,0.4016083916083916,0.0,0.0,0.43897306657656987,0.010712531728577883,0.43897306657656987,0.0128208668114033,0.0010647364117759974,0.0014493761962910486,0.0,0.0014493761962910488,2.655742100606481e-19,0.0,-25.7798320848613,7.391132651406332,-25.7798320848613,8.845782650640912,0.7346170128229342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029606842892202098,0.0010691473053814557,0.0296068428922021,0.0012458353290014034,0.00020843137662972103,5.928468315614427,0.21357998738031514,5.928468315614428,0.24887523702913336,0.04163928884684909,-1.2739356532787893,0.3976988560160996,-1.2739356532787889,0.4764592181347071,0.03493370001152293,0.38010582223210054,0.13447778642457858,0.38010582223210054,0.16127309645437266,0.010657800035542451,0.7478819017366057,0.10938868761419844,0.7478819017366055,0.13110623559163762,0.009154215237375335,0.9469037118041139,0.032038856378138386,0.9469037118041141,0.03828067928549114,0.0030670980226449643,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,FE,8522,30,3,10,30,a8a3d9ab0e72bf7ebc40c47a8252dd5988d8cd11ec19c08aec0ec026bad47dee,30,efc47f340595e3335e9a46a0dec92314e59b2927d5daeed0175f4ec284fe97e5,0.2028866463271532,5.646012854083702e-17,0.20288664632715325,0.0,0.0,0.24902419048077087,0.01485195041620307,0.24902419048077082,0.017617670977756898,0.002061214080009279,0.0043562822355108725,1.7643790169011568e-18,0.004356282235510871,0.0,0.0,-10.591036498397806,3.409317765303457,-10.591036498397804,4.044198705525522,0.4731589847891377,1.1664817260263287e-12,3.6960746741732725e-12,1.1664817260263287e-12,1.9288207994239195e-12,2.020093433851832e-12,6.904094555319299e-10,2.0238145490790995e-09,6.9040945553193e-10,1.1005987302797713e-09,1.1048367645425698e-09,1.6052288260478183e-07,4.1890806339839935e-07,1.6052288260478183e-07,2.407075348848711e-07,2.2841382483308353e-07,0.07438235123132847,0.0032894663773101913,0.07438235123132848,0.003809484513119524,0.0006710422455179066,14.902010497786183,0.6567427604980194,14.90201049778618,0.7605587921950214,0.1339847143470691,-0.618006656858716,0.1916333067311874,-0.6180066568587161,0.22522189926001268,0.03286630128368393,0.5907899193884913,0.053804398025968515,0.5907899193884912,0.06277643902338999,0.009711427847689726,0.9076820037044655,0.030585313872897653,0.9076820037044655,0.03543141034721451,0.005879257577065175,0.9901118088367623,0.005459868112008438,0.9901118088367623,0.006250815467198465,0.0011440520159592623,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,SE,1356,30,3,10,30,a8a3d9ab0e72bf7ebc40c47a8252dd5988d8cd11ec19c08aec0ec026bad47dee,30,efc47f340595e3335e9a46a0dec92314e59b2927d5daeed0175f4ec284fe97e5,0.2175516224188791,5.646012854083702e-17,0.21755162241887901,0.0,2.925694557147251e-17,0.5394143978060465,0.008585220078465183,0.5394143978060464,0.010009576157146297,0.0021131726239576477,0.01120415647963741,1.7643790169011568e-18,0.011204156479637411,2.1245936804851847e-18,1.828559098217032e-18,-28.727086771067967,0.7662531395440689,-28.727086771067974,0.8933806106098058,0.18860613271495782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02291418168525203,0.00367662682125183,0.022914181685252024,0.004418645387242608,0.00019373731408929174,5.111058231314134,0.6618762438078234,5.111058231314134,0.7953873511526,0.03536881390451485,-12.82238027908472,1.8223203864582356,-12.822380279084724,2.190927240869988,0.09582436602001672,0.0,0.0,0.0,0.0,0.0,7.401486830834377e-18,4.053961296325411e-17,7.401486830834377e-18,1.2819751242557095e-17,2.3405556457178006e-17,3.4202270645285655e-14,9.620014604351979e-14,3.4202270645285655e-14,5.924007049185633e-14,4.946527099801088e-14,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,DEP,828,30,3,10,30,a8a3d9ab0e72bf7ebc40c47a8252dd5988d8cd11ec19c08aec0ec026bad47dee,30,efc47f340595e3335e9a46a0dec92314e59b2927d5daeed0175f4ec284fe97e5,0.7705314009661838,2.2584051416334807e-16,0.7705314009661836,1.3597399555105182e-16,1.1702778228589004e-16,0.5528962541003735,0.002665478836506847,0.5528962541003734,0.0022798596195690926,0.001888068306070324,0.014613075719857616,5.2931370507034704e-18,0.014613075719857621,0.0,0.0,14.893178618794606,0.182403683359058,14.89317861879461,0.15601504182114204,0.12920403221510984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022576492535201966,0.0042039017600677955,0.02257649253520197,0.005060862825387119,9.09405418468268e-05,5.396168158675723,0.7150960661782507,5.396168158675721,0.8608614266271879,0.015429535532211568,8.192227387243511,0.9864286797473256,8.192227387243511,1.1848020193506033,0.072756165125845,1.0107850556551057e-09,1.630823374603093e-09,1.0107850556551057e-09,1.7507265962310942e-09,4.420374827680323e-10,2.425852179743782e-07,3.78935425823621e-07,2.425852179743782e-07,4.201625147930557e-07,8.843366892038008e-08,2.2284907034325617e-05,3.386183519286522e-05,2.2284907034325624e-05,3.859394069149262e-05,6.53872489757909e-06,,,,,,,,,,,,,
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,feature,790,30,3,10,30,a8a3d9ab0e72bf7ebc40c47a8252dd5988d8cd11ec19c08aec0ec026bad47dee,30,efc47f340595e3335e9a46a0dec92314e59b2927d5daeed0175f4ec284fe97e5,0.3341772151898734,0.0,0.3341772151898734,0.0,0.0,0.5537179985370566,0.002596017804485891,0.5537179985370565,0.0021467797660083116,0.0019045602762902843,0.016782405043235256,0.0,0.016782405043235256,0.0,0.0,-13.08160438158873,0.15468687579628582,-13.081604381588733,0.12791848131883662,0.11348553865692723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022561724724951916,0.004313069150739844,0.022561724724951906,0.00519239811835533,8.810003245915807e-05,5.645190466183261,0.7034487436656784,5.645190466183261,0.8468558828713588,0.014365670219876494,-7.885520314358529,0.9002733506189703,-7.885520314358529,1.080633965311476,0.06902236712645556,2.6356975935115655e-09,4.343565507246576e-09,2.635697593511566e-09,4.5649646583582525e-09,1.2685936847767473e-09,5.38417523991234e-07,8.562835098586375e-07,5.38417523991234e-07,9.323712752018519e-07,2.1879674812209721e-07,4.225654032030309e-05,6.504139666016377e-05,4.2256540320303084e-05,7.311720975568638e-05,1.3953186483477442e-05,,,,,,,,,,,,,
