method,architecture_id,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,0,106,250,full,Full 500-3000 keV,442,58,114299,4.781074970333011,6.5723608928963255
CNP,m0,0,106,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.793555473643504,10.563802623468694
CNP,m0,0,106,250,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.913193594896129,12.94346548310526
CNP,m0,0,106,250,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.484281733835054,5.241577371484312
CNP,m0,0,106,250,SE,Tl-208 SE 2103 keV,6,0,2023,11.239540513347663,15.640623482211712
CNP,m0,0,106,250,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.659554074379342,5.554880678969927
CNP,m0,0,106,250,FE,Tl-208 FE 2614 keV,5,1,8709,3.563540607682257,4.275851517734417
CNP,m0,0,106,250,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.31222347496771,10.050488517080229
CNP,m0,0,107,250,full,Full 500-3000 keV,442,58,114299,4.836557129941137,6.671607445315055
CNP,m0,0,107,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.6181629253266445,10.35435682180155
CNP,m0,0,107,250,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.874319563518045,13.166504066209384
CNP,m0,0,107,250,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.692657914028544,5.4561558854274494
CNP,m0,0,107,250,SE,Tl-208 SE 2103 keV,6,0,2023,11.836305718388186,16.07488684960759
CNP,m0,0,107,250,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.2965762427045515,5.173096822212261
CNP,m0,0,107,250,FE,Tl-208 FE 2614 keV,5,1,8709,3.233667374575043,3.8308183454058438
CNP,m0,0,107,250,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.644407984574546,10.393310097129351
CNP,m0,0,108,250,full,Full 500-3000 keV,442,58,114299,4.869216279375797,6.733591071384798
CNP,m0,0,108,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.4960482266611095,10.222035997261976
CNP,m0,0,108,250,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.873228826449292,13.33174098403019
CNP,m0,0,108,250,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.8552378187759615,5.637383905783293
CNP,m0,0,108,250,SE,Tl-208 SE 2103 keV,6,0,2023,12.238985044328334,16.37382799365305
CNP,m0,0,108,250,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.0898276432410805,4.978491688540846
CNP,m0,0,108,250,FE,Tl-208 FE 2614 keV,5,1,8709,2.9407368412308807,3.462830476522636
CNP,m0,0,108,250,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,10.010699406882754,10.773102491542065
CNP,m0,0,109,250,full,Full 500-3000 keV,442,58,114299,4.765217753585429,6.528145336590424
CNP,m0,0,109,250,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.923790506249966,10.733015109183931
CNP,m0,0,109,250,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.044726931035502,12.790426385842505
CNP,m0,0,109,250,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.338856742112262,5.119503464154699
CNP,m0,0,109,250,SE,Tl-208 SE 2103 keV,6,0,2023,10.802018018460723,15.329286774652584
CNP,m0,0,109,250,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.948914488593177,5.848354741740806
CNP,m0,0,109,250,FE,Tl-208 FE 2614 keV,5,1,8709,3.9859831980235163,4.639863284310232
CNP,m0,0,109,250,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.036532292181755,9.773506728131931
CNP,m0,0,100,500,full,Full 500-3000 keV,442,58,114299,4.7733342750494945,6.550354661371979
CNP,m0,0,100,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.856362945410672,10.643888062720187
CNP,m0,0,100,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.976780328865582,12.868034910948142
CNP,m0,0,100,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.408600206175362,5.1764309169921034
CNP,m0,0,100,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.022789692658295,15.485546262476724
CNP,m0,0,100,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.786483192835429,5.687276321615101
CNP,m0,0,100,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.8161637267326887,4.494001308047918
CNP,m0,0,100,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.108065821986235,9.848206894421166
CNP,m0,0,101,500,full,Full 500-3000 keV,442,58,114299,4.759199126307816,6.518744055173792
CNP,m0,0,101,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.929088480371987,10.740303774415286
CNP,m0,0,101,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.049375913393796,12.783821975004258
CNP,m0,0,101,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.33231578849564,5.113905332825299
CNP,m0,0,101,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.774051067097497,15.309642563293885
CNP,m0,0,101,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.978372884499775,5.882714410675037
CNP,m0,0,101,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.931066143818761,4.593850748246901
CNP,m0,0,101,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.100964255477404,9.835336709400423
CNP,m0,0,102,500,full,Full 500-3000 keV,442,58,114299,4.764886643794231,6.530186857377627
CNP,m0,0,102,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.911908865029197,10.716881574939148
CNP,m0,0,102,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.032731920334975,12.80370545462223
CNP,m0,0,102,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.34883040457189,5.127143291168566
CNP,m0,0,102,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.833289660315874,15.351225921732453
CNP,m0,0,102,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.91974357816928,5.820558070506677
CNP,m0,0,102,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.9821253018001204,4.636035817505375
CNP,m0,0,102,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.01181549630172,9.752552572969382
CNP,m0,0,103,500,full,Full 500-3000 keV,442,58,114299,4.823485172362671,6.652970512971952
CNP,m0,0,103,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.628362038153372,10.36594658162879
CNP,m0,0,103,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.873889194785137,13.152924629150379
CNP,m0,0,103,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.681874031049415,5.4435523846155105
CNP,m0,0,103,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.798207903801696,16.04692426233867
CNP,m0,0,103,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.336571844832025,5.217054200168865
CNP,m0,0,103,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.212346953994156,3.8040251706672787
CNP,m0,0,103,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.70994302975984,10.457920744942703
CNP,m0,0,104,500,full,Full 500-3000 keV,442,58,114299,4.769615620115916,6.552779880345022
CNP,m0,0,104,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.826694384016657,10.605842076313166
CNP,m0,0,104,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.94572965921261,12.903677947592247
CNP,m0,0,104,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.446867159789207,5.208951752262958
CNP,m0,0,104,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.128091237010235,15.560924974065243
CNP,m0,0,104,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.744902271768438,5.647449737467596
CNP,m0,0,104,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.5844768905963096,4.301462569219629
CNP,m0,0,104,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.339263880697596,10.073330311777328
CNP,m0,0,105,500,full,Full 500-3000 keV,442,58,114299,4.8225317683590045,6.645925087218889
CNP,m0,0,105,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.661085670400611,10.40348625846629
CNP,m0,0,105,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.874338643770011,13.110428049271473
CNP,m0,0,105,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.643057648461084,5.400386126093408
CNP,m0,0,105,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.69454595108177,15.970873541493352
CNP,m0,0,105,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.383803960568609,5.261033960370512
CNP,m0,0,105,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.3125805928765075,3.934868626366825
CNP,m0,0,105,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.572663361016172,10.317594561863855
CNP,m0,0,106,500,full,Full 500-3000 keV,442,58,114299,4.778689416708043,6.5689438600446515
CNP,m0,0,106,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.7978613125448355,10.569174989563052
CNP,m0,0,106,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.917529088563205,12.93834787216442
CNP,m0,0,106,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.478333053737189,5.236186961167691
CNP,m0,0,106,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.22255250811918,15.628433486241441
CNP,m0,0,106,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.668760566305079,5.565536201836856
CNP,m0,0,106,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.570330006628545,4.285304123615967
CNP,m0,0,106,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.301088221220514,10.03970692790927
CNP,m0,0,107,500,full,Full 500-3000 keV,442,58,114299,4.822755192709426,6.648958883178638
CNP,m0,0,107,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.645625309936236,10.385655290691972
CNP,m0,0,107,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.874042787966859,13.130221747198464
CNP,m0,0,107,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.660774914953157,5.419827772944745
CNP,m0,0,107,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.742276190656142,16.0057625552443
CNP,m0,0,107,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.360476912696621,5.239176191303884
CNP,m0,0,107,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.2671649907648384,3.8751726791067256
CNP,m0,0,107,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.632337981297791,10.379539047019737
CNP,m0,0,108,500,full,Full 500-3000 keV,442,58,114299,4.8292408320754525,6.6631333638901795
CNP,m0,0,108,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.614044888687752,10.349612276642477
CNP,m0,0,108,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.873951964846881,13.17194238623824
CNP,m0,0,108,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.698248619580484,5.462374320036923
CNP,m0,0,108,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.845789367929054,16.082011126859975
CNP,m0,0,108,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.304445182716651,5.184427116149878
CNP,m0,0,108,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.1937789712443565,3.7797047818898992
CNP,m0,0,108,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.718641631263816,10.46839488849937
CNP,m0,0,109,500,full,Full 500-3000 keV,442,58,114299,4.7674001001567605,6.5390159795008715
CNP,m0,0,109,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.881228615711148,10.676516378876157
CNP,m0,0,109,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.00149585495257,12.839177694259215
CNP,m0,0,109,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.3840851646370265,5.155575315815238
CNP,m0,0,109,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.943223812098168,15.429070307239318
CNP,m0,0,109,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.85103882051747,5.753372079738863
CNP,m0,0,109,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.8346679824554997,4.5105970982076835
CNP,m0,0,109,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.137717767188944,9.874165649125684
CNP,m0,0,100,1000,full,Full 500-3000 keV,442,58,114299,4.7731118273987185,6.553932178783661
CNP,m0,0,100,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.838477848892982,10.62086985372844
CNP,m0,0,100,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.958372842513768,12.889354161287446
CNP,m0,0,100,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.430118430344223,5.194858325991399
CNP,m0,0,100,1000,SE,Tl-208 SE 2103 keV,6,0,2023,11.085635221428735,15.530469399415638
CNP,m0,0,100,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.753265285757424,5.653779253239942
CNP,m0,0,100,1000,FE,Tl-208 FE 2614 keV,5,1,8709,3.7093046012594866,4.404580744716404
CNP,m0,0,100,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.206367054049242,9.944234160772467
CNP,m0,0,101,1000,full,Full 500-3000 keV,442,58,114299,4.786834095219068,6.4944832343223124
CNP,m0,0,101,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.174821840197783,11.09106504468702
CNP,m0,0,101,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.297322510961747,12.523147309662889
CNP,m0,0,101,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.120274145012506,4.977980481972443
CNP,m0,0,101,1000,SE,Tl-208 SE 2103 keV,6,0,2023,9.936062142405207,14.73193063845514
CNP,m0,0,101,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.577899280295556,6.484671932630527
