subset_id,training_budget_nominal_events,method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
seed20260910_n5000,5000,CNP,m0,0,109,FE,FE,supported,8522,202,-2.4836125950074477,-0.5427156750971329,1.940896919910315
seed20260910_n5000,5000,CNP,m0,1,100,DEP,DEP,supported,828,464,21.01865733799767,-0.0147082097586404,21.03336554775631
seed20260910_n5000,5000,CNP,m0,1,100,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.012795985554181488,25.53436234758417
seed20260910_n5000,5000,CNP,m0,1,100,SE,SE,supported,1356,657,-28.4731482603952,-0.0182956792104616,28.454852581184735
seed20260910_n5000,5000,CNP,m0,1,100,FE,FE,supported,8522,202,-2.4836125950074477,-0.4590682238875432,2.0245443711199047
seed20260910_n5000,5000,CNP,m0,1,101,DEP,DEP,supported,828,464,21.01865733799767,-0.014877147180736294,21.033534485178407
seed20260910_n5000,5000,CNP,m0,1,101,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.01235297663356727,25.534805356504787
seed20260910_n5000,5000,CNP,m0,1,101,SE,SE,supported,1356,657,-28.4731482603952,-0.018758458892259577,28.454389801502938
seed20260910_n5000,5000,CNP,m0,1,101,FE,FE,supported,8522,202,-2.4836125950074477,-0.46215229337512875,2.021460301632319
seed20260910_n5000,5000,CNP,m0,1,102,DEP,DEP,supported,828,464,21.01865733799767,-0.014847585530852747,21.033504923528522
seed20260910_n5000,5000,CNP,m0,1,102,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.01281740395896458,25.53434092917939
seed20260910_n5000,5000,CNP,m0,1,102,SE,SE,supported,1356,657,-28.4731482603952,-0.01824101035970971,28.45490725003549
seed20260910_n5000,5000,CNP,m0,1,102,FE,FE,supported,8522,202,-2.4836125950074477,-0.4586088409680167,2.0250037540394312
