variant,method,context_size,context_seed,bandwidth_kev,mean_cv_brier,sd_cv_brier_across_folds,selected,selection_data,cv_seed
context_only,Gaussian kernel regression (context only),250,107,20.0,0.2804462754034318,0.01602259814466443,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,107,50.0,0.2490659701964968,0.021872083929342243,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,107,100.0,0.23811781636955448,0.017800304623259464,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,108,2.0,0.32739706060386664,0.10436750315878966,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,108,5.0,0.2958069765825518,0.09575213513226156,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,108,10.0,0.2683169467610579,0.06536932478002967,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,108,20.0,0.25129463375352046,0.044721701440259165,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,108,50.0,0.241858184424105,0.02993832343343447,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,108,100.0,0.2319800085937299,0.021146655294748178,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,109,2.0,0.3596650709395301,0.044732197521958006,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,109,5.0,0.32714274065237614,0.022912345366836253,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,109,10.0,0.29240725786573013,0.015976247470755784,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,109,20.0,0.2601717151504913,0.026158845839023597,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,109,50.0,0.23679770598518285,0.02812422513783791,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),250,109,100.0,0.2289760708477051,0.02631025671086558,True,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,100,2.0,0.2891469066295757,0.047899089661759243,False,five-fold CV within development context,20260908
context_only,Gaussian kernel regression (context only),500,100,5.0,0.2744512230069608,0.04630903827855104,False,five-fold CV within development context,20260908
