variant,method,context_size,context_seed,feature,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
context_only,Gaussian kernel regression (context only),500,103,SE,1356,657,-28.4731482603952,0.009360083751797088,28.482508344146996
context_only,Gaussian kernel regression (context only),500,103,FE,8522,202,-2.4836125950074477,-0.028258802420186302,2.4553537925872613
context_only,Gaussian kernel regression (context only),500,104,DEP,828,464,21.01865733799767,0.002893339683662788,21.015763998314007
context_only,Gaussian kernel regression (context only),500,104,Bi-212,790,541,-25.547158333138352,0.021633528529052537,25.568791861667407
context_only,Gaussian kernel regression (context only),500,104,SE,1356,657,-28.4731482603952,-0.009443090065069937,28.46370517033013
context_only,Gaussian kernel regression (context only),500,104,FE,8522,202,-2.4836125950074477,0.06804444324897962,2.5516570382564274
context_only,Gaussian kernel regression (context only),500,105,DEP,828,464,21.01865733799767,-0.022142362399146798,21.040799700396818
context_only,Gaussian kernel regression (context only),500,105,Bi-212,790,541,-25.547158333138352,-0.027939383944208807,25.519218949194144
context_only,Gaussian kernel regression (context only),500,105,SE,1356,657,-28.4731482603952,-0.03793993626500791,28.43520832413019
context_only,Gaussian kernel regression (context only),500,105,FE,8522,202,-2.4836125950074477,-0.0342141399598761,2.4493984550475716
context_only,Gaussian kernel regression (context only),500,106,DEP,828,464,21.01865733799767,0.019661742880749955,20.99899559511692
context_only,Gaussian kernel regression (context only),500,106,Bi-212,790,541,-25.547158333138352,0.02872756343619276,25.575885896574547
context_only,Gaussian kernel regression (context only),500,106,SE,1356,657,-28.4731482603952,-0.022967702860299255,28.4501805575349
context_only,Gaussian kernel regression (context only),500,106,FE,8522,202,-2.4836125950074477,-0.10511103931056531,2.3785015556968823
context_only,Gaussian kernel regression (context only),500,107,DEP,828,464,21.01865733799767,-0.03323740725793556,21.051894745255606
context_only,Gaussian kernel regression (context only),500,107,Bi-212,790,541,-25.547158333138352,-0.015258744403789937,25.531899588734564
context_only,Gaussian kernel regression (context only),500,107,SE,1356,657,-28.4731482603952,-0.020319811136459975,28.45282844925874
context_only,Gaussian kernel regression (context only),500,107,FE,8522,202,-2.4836125950074477,-0.10244260090486734,2.3811699941025806
context_only,Gaussian kernel regression (context only),500,108,DEP,828,464,21.01865733799767,-0.07106494086833726,21.089722278866006
context_only,Gaussian kernel regression (context only),500,108,Bi-212,790,541,-25.547158333138352,-0.036186226023482426,25.51097210711487
context_only,Gaussian kernel regression (context only),500,108,SE,1356,657,-28.4731482603952,-0.0407703662269443,28.432377894168255
context_only,Gaussian kernel regression (context only),500,108,FE,8522,202,-2.4836125950074477,-0.05900127994706017,2.4246113150603876
context_only,Gaussian kernel regression (context only),500,109,DEP,828,464,21.01865733799767,-0.017247743894677203,21.03590508189235
context_only,Gaussian kernel regression (context only),500,109,Bi-212,790,541,-25.547158333138352,0.004733616673535668,25.55189194981189
context_only,Gaussian kernel regression (context only),500,109,SE,1356,657,-28.4731482603952,-0.027516773204494527,28.445631487190703
context_only,Gaussian kernel regression (context only),500,109,FE,8522,202,-2.4836125950074477,-0.07553174154927289,2.408080853458175
context_only,Gaussian kernel regression (context only),1000,100,DEP,828,464,21.01865733799767,0.05324272648610795,20.965414611511562
context_only,Gaussian kernel regression (context only),1000,100,Bi-212,790,541,-25.547158333138352,0.03370457911756608,25.58086291225592
context_only,Gaussian kernel regression (context only),1000,100,SE,1356,657,-28.4731482603952,-0.010161220784787872,28.46298703961041
context_only,Gaussian kernel regression (context only),1000,100,FE,8522,202,-2.4836125950074477,-0.14929391014322224,2.3343186848642254
context_only,Gaussian kernel regression (context only),1000,101,DEP,828,464,21.01865733799767,-0.03542716411055746,21.05408450210823
context_only,Gaussian kernel regression (context only),1000,101,Bi-212,790,541,-25.547158333138352,-0.016771193935172235,25.53038713920318
context_only,Gaussian kernel regression (context only),1000,101,SE,1356,657,-28.4731482603952,-0.028070968488302928,28.445077291906895
context_only,Gaussian kernel regression (context only),1000,101,FE,8522,202,-2.4836125950074477,-0.1680969020702583,2.3155156929371894
context_only,Gaussian kernel regression (context only),1000,102,DEP,828,464,21.01865733799767,0.013283397996777246,21.005373940000894
context_only,Gaussian kernel regression (context only),1000,102,Bi-212,790,541,-25.547158333138352,0.012000030042103038,25.559158363180458
context_only,Gaussian kernel regression (context only),1000,102,SE,1356,657,-28.4731482603952,0.001815650836550775,28.47496391123175
context_only,Gaussian kernel regression (context only),1000,102,FE,8522,202,-2.4836125950074477,-0.22895266196580333,2.2546599330416446
context_only,Gaussian kernel regression (context only),1000,103,DEP,828,464,21.01865733799767,0.033656836304263305,20.985000501693406
context_only,Gaussian kernel regression (context only),1000,103,Bi-212,790,541,-25.547158333138352,0.029265417865509402,25.576423751003862
context_only,Gaussian kernel regression (context only),1000,103,SE,1356,657,-28.4731482603952,0.018132338393328506,28.491280598788528
context_only,Gaussian kernel regression (context only),1000,103,FE,8522,202,-2.4836125950074477,-0.018175017383342817,2.465437577624105
context_only,Gaussian kernel regression (context only),1000,104,DEP,828,464,21.01865733799767,-0.02946801586029002,21.048125353857962
context_only,Gaussian kernel regression (context only),1000,104,Bi-212,790,541,-25.547158333138352,0.003344300530305766,25.55050263366866
context_only,Gaussian kernel regression (context only),1000,104,SE,1356,657,-28.4731482603952,-0.010017377435500574,28.463130882959696
context_only,Gaussian kernel regression (context only),1000,104,FE,8522,202,-2.4836125950074477,-0.14502743134599538,2.3385851636614525
context_only,Gaussian kernel regression (context only),1000,105,DEP,828,464,21.01865733799767,0.0003079574735775914,21.018349380524093
context_only,Gaussian kernel regression (context only),1000,105,Bi-212,790,541,-25.547158333138352,0.002323082046029601,25.54948141518438
context_only,Gaussian kernel regression (context only),1000,105,SE,1356,657,-28.4731482603952,-0.028587635875981787,28.444560624519216
context_only,Gaussian kernel regression (context only),1000,105,FE,8522,202,-2.4836125950074477,-0.07987248207222963,2.403740112935218
context_only,Gaussian kernel regression (context only),1000,106,DEP,828,464,21.01865733799767,-0.022755298882193298,21.041412636879862
context_only,Gaussian kernel regression (context only),1000,106,Bi-212,790,541,-25.547158333138352,-0.003282644374624777,25.543875688763727
context_only,Gaussian kernel regression (context only),1000,106,SE,1356,657,-28.4731482603952,-0.024549902374892962,28.448598358020305
