method,architecture_id,training_seed,context_seed,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
Attentive CNP + PE,m2,0,105,SE,Tl-208 SE 2103 keV,6,0,2023,5.926941444708384,7.429133107371627
Attentive CNP + PE,m2,0,105,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.919707514197734,9.068929604907527
Attentive CNP + PE,m2,0,105,FE,Tl-208 FE 2614 keV,5,1,8709,6.264975255634591,7.667247814231619
Attentive CNP + PE,m2,0,105,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,24.85445526984938,26.58578693846773
Attentive CNP + PE,m2,0,106,full,Full 500-3000 keV,442,58,114299,8.732382038465952,11.019926634866804
Attentive CNP + PE,m2,0,106,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.910912779845534,7.915189630388696
Attentive CNP + PE,m2,0,106,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.714557380030929,10.329453238959326
Attentive CNP + PE,m2,0,106,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.962162434672641,9.907834481013882
Attentive CNP + PE,m2,0,106,SE,Tl-208 SE 2103 keV,6,0,2023,6.184229777249023,7.668977319809002
Attentive CNP + PE,m2,0,106,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,8.279482326536055,9.458220610056525
Attentive CNP + PE,m2,0,106,FE,Tl-208 FE 2614 keV,5,1,8709,6.42657045135048,7.897767946183443
Attentive CNP + PE,m2,0,106,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,24.684543668160853,26.451987530040793
Attentive CNP + PE,m2,0,107,full,Full 500-3000 keV,442,58,114299,9.161837962686214,11.37964388152112
Attentive CNP + PE,m2,0,107,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.175671710152237,8.447317488019882
Attentive CNP + PE,m2,0,107,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.13711043605357,10.834296538478204
Attentive CNP + PE,m2,0,107,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,8.402100758780987,10.381460809472012
Attentive CNP + PE,m2,0,107,SE,Tl-208 SE 2103 keV,6,0,2023,6.811980041658357,8.363451331467754
Attentive CNP + PE,m2,0,107,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,9.082047241490674,10.257937916213402
Attentive CNP + PE,m2,0,107,FE,Tl-208 FE 2614 keV,5,1,8709,6.756974457163628,8.304683625750782
Attentive CNP + PE,m2,0,107,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.953669567192854,25.71639756900789
Attentive CNP + PE,m2,0,108,full,Full 500-3000 keV,442,58,114299,9.084834444950657,11.296333554874169
Attentive CNP + PE,m2,0,108,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.179544260575496,8.436350291259597
Attentive CNP + PE,m2,0,108,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.075905729270445,10.719399130215294
Attentive CNP + PE,m2,0,108,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,8.335142008206828,10.304535899527446
Attentive CNP + PE,m2,0,108,SE,Tl-208 SE 2103 keV,6,0,2023,6.71390349581527,8.284692688537321
Attentive CNP + PE,m2,0,108,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,8.949934722560721,10.12763917237084
Attentive CNP + PE,m2,0,108,FE,Tl-208 FE 2614 keV,5,1,8709,6.729185618161934,8.255550841717618
Attentive CNP + PE,m2,0,108,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.852847309898806,25.586962234775285
Attentive CNP + PE,m2,0,109,full,Full 500-3000 keV,442,58,114299,9.084742273384414,11.30680961804504
Attentive CNP + PE,m2,0,109,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.1601703115850475,8.361311723186354
Attentive CNP + PE,m2,0,109,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.091348670513199,10.725917315821778
Attentive CNP + PE,m2,0,109,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,8.296418301566503,10.261109506358643
Attentive CNP + PE,m2,0,109,SE,Tl-208 SE 2103 keV,6,0,2023,6.67513364264002,8.22141866612293
Attentive CNP + PE,m2,0,109,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,8.845841266544442,10.016462695078838
Attentive CNP + PE,m2,0,109,FE,Tl-208 FE 2614 keV,5,1,8709,6.624754614024278,8.124621897337638
Attentive CNP + PE,m2,0,109,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,24.103342073134453,25.8518630374893
