method,architecture_id,training_budget,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,18866,0,105,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.383803960568609,5.261033960370512
CNP,m0,18866,0,105,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.3125805928765075,3.934868626366825
CNP,m0,18866,0,105,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.572663361016172,10.317594561863856
CNP,m0,18866,0,106,500,full,Full 500-3000 keV,442,58,114299,4.778689416708043,6.568943860044652
CNP,m0,18866,0,106,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.797861312544836,10.569174989563052
CNP,m0,18866,0,106,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.917529088563205,12.93834787216442
CNP,m0,18866,0,106,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.478333053737189,5.236186961167691
CNP,m0,18866,0,106,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.22255250811918,15.62843348624144
CNP,m0,18866,0,106,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.668760566305079,5.565536201836856
CNP,m0,18866,0,106,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.570330006628545,4.285304123615967
CNP,m0,18866,0,106,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.301088221220514,10.03970692790927
CNP,m0,18866,0,107,500,full,Full 500-3000 keV,442,58,114299,4.822755192709426,6.648958883178638
CNP,m0,18866,0,107,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.645625309936236,10.385655290691972
CNP,m0,18866,0,107,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.874042787966859,13.130221747198464
CNP,m0,18866,0,107,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.660774914953157,5.419827772944745
CNP,m0,18866,0,107,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.742276190656142,16.0057625552443
CNP,m0,18866,0,107,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.360476912696621,5.239176191303884
CNP,m0,18866,0,107,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.2671649907648384,3.8751726791067256
CNP,m0,18866,0,107,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.632337981297791,10.379539047019737
CNP,m0,18866,0,108,500,full,Full 500-3000 keV,442,58,114299,4.8292408320754525,6.66313336389018
CNP,m0,18866,0,108,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.614044888687752,10.349612276642477
CNP,m0,18866,0,108,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.873951964846881,13.17194238623824
CNP,m0,18866,0,108,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.698248619580484,5.462374320036923
CNP,m0,18866,0,108,500,SE,Tl-208 SE 2103 keV,6,0,2023,11.845789367929054,16.082011126859975
CNP,m0,18866,0,108,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.304445182716651,5.184427116149878
CNP,m0,18866,0,108,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.1937789712443565,3.7797047818898992
CNP,m0,18866,0,108,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.718641631263816,10.46839488849937
CNP,m0,18866,0,109,500,full,Full 500-3000 keV,442,58,114299,4.7674001001567605,6.539015979500872
CNP,m0,18866,0,109,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.881228615711148,10.676516378876157
CNP,m0,18866,0,109,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.00149585495257,12.839177694259217
CNP,m0,18866,0,109,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.3840851646370265,5.155575315815238
CNP,m0,18866,0,109,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.943223812098168,15.429070307239318
CNP,m0,18866,0,109,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.85103882051747,5.753372079738863
CNP,m0,18866,0,109,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.8346679824555,4.510597098207684
CNP,m0,18866,0,109,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.137717767188944,9.874165649125684
CNP,m0,18866,1,100,500,full,Full 500-3000 keV,442,58,114299,4.709385089735479,6.367537388824145
CNP,m0,18866,1,100,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.17501780916675,11.10863777493803
CNP,m0,18866,1,100,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.298739222759382,12.515777804153974
CNP,m0,18866,1,100,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.112940587187072,4.9725598132623885
CNP,m0,18866,1,100,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.26405411450539,14.940236029375612
CNP,m0,18866,1,100,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.294493246543321,6.318872598055403
CNP,m0,18866,1,100,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.962673521934351,7.401389798967739
CNP,m0,18866,1,100,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.071169921202189,8.01597584926181
CNP,m0,18866,1,101,500,full,Full 500-3000 keV,442,58,114299,4.694717545846672,6.358097360791713
CNP,m0,18866,1,101,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.147250641825359,11.066792738244148
CNP,m0,18866,1,101,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.27124030731446,12.543033970209011
CNP,m0,18866,1,101,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.130848360542189,4.9806961576927735
CNP,m0,18866,1,101,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.355174940759984,15.002734314791397
CNP,m0,18866,1,101,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.150519500270207,6.170322918498897
CNP,m0,18866,1,101,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.796647201303345,7.245142234191405
CNP,m0,18866,1,101,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.147525548118513,8.079333554052539
CNP,m0,18866,1,102,500,full,Full 500-3000 keV,442,58,114299,4.724659802143151,6.3770584343017855
CNP,m0,18866,1,102,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.205181417253538,11.154667533259625
CNP,m0,18866,1,102,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.329667622102995,12.486244770242044
CNP,m0,18866,1,102,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.089427209009068,4.963781257336733
CNP,m0,18866,1,102,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.14881400690704,14.861557945712072
CNP,m0,18866,1,102,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.410585631771882,6.4373215907675805
CNP,m0,18866,1,102,500,FE,Tl-208 FE 2614 keV,5,1,8709,7.073511383867722,7.5057577199660175
CNP,m0,18866,1,102,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.015818581498435,7.971429851700959
CNP,m0,18866,1,103,500,full,Full 500-3000 keV,442,58,114299,4.652450036540009,6.345176266115087
CNP,m0,18866,1,103,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.013487349975351,10.871889400694087
CNP,m0,18866,1,103,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.1356642576301,12.683492055535314
CNP,m0,18866,1,103,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.239655774598938,5.045964553998247
CNP,m0,18866,1,103,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.842638604996967,15.341973177070958
CNP,m0,18866,1,103,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.583868972763938,5.543986537433275
CNP,m0,18866,1,103,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.016739698980151,6.517939303425381
CNP,m0,18866,1,103,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.549694670758239,8.420608600784856
CNP,m0,18866,1,104,500,full,Full 500-3000 keV,442,58,114299,4.69214387817188,6.353746706154211
CNP,m0,18866,1,104,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.1367203234766485,11.05069246426214
