subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,region,threshold_k,coverage_percent_mean,mean_context_sd_within_seed_pp,initialization_sd_across_seed_means_pp,cell_count
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,SE_2103_pm5,1,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,SE_2103_pm5,2,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,SE_2103_pm5,3,25.0,13.877092425186001,22.9128784747792,30
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,DEP_1592_pm5,1,0.0,0.0,0.0,30
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,DEP_1592_pm5,2,11.666666666666666,8.050764858994134,20.207259421636902,30
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,DEP_1592_pm5,3,33.333333333333336,0.0,28.86751345948129,30
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,feature_1620_pm5,1,18.333333333333332,21.790068162403813,20.207259421636902,30
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,feature_1620_pm5,2,41.666666666666664,28.958232263285492,32.53203549323856,30
original_n2000,original,2k,2000,1895,Density-guided CNP,ours,feature_1620_pm5,3,61.666666666666664,33.02542413127058,38.18813079129867,30
original_n5000,original,5k,5000,4984,CNP,m0,overall_500_3000,1,47.76018099547512,0.678617850430509,0.6383138452337515,30
original_n5000,original,5k,5000,4984,CNP,m0,overall_500_3000,2,80.07541478129714,0.8582766683287574,2.0142524322387088,30
original_n5000,original,5k,5000,4984,CNP,m0,overall_500_3000,3,92.4811463046757,0.2825674432635696,1.1695614501402298,30
original_n5000,original,5k,5000,4984,CNP,m0,FE_2614_pm5,1,21.666666666666668,16.657394517232834,18.929694486000912,30
original_n5000,original,5k,5000,4984,CNP,m0,FE_2614_pm5,2,43.333333333333336,16.101529717988267,37.52776749732568,30
original_n5000,original,5k,5000,4984,CNP,m0,FE_2614_pm5,3,60.0,14.05456737852613,51.96152422706632,30
original_n5000,original,5k,5000,4984,CNP,m0,SE_2103_pm5,1,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,CNP,m0,SE_2103_pm5,2,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,CNP,m0,SE_2103_pm5,3,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,CNP,m0,DEP_1592_pm5,1,21.666666666666668,12.297746456210364,24.664414311581236,30
original_n5000,original,5k,5000,4984,CNP,m0,DEP_1592_pm5,2,50.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,CNP,m0,DEP_1592_pm5,3,50.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,CNP,m0,feature_1620_pm5,1,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,CNP,m0,feature_1620_pm5,2,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,CNP,m0,feature_1620_pm5,3,0.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,overall_500_3000,1,43.763197586726996,0.45888864925695727,1.1042794603450088,30
original_n5000,original,5k,5000,4984,Attentive CNP,m1,overall_500_3000,2,74.8265460030166,0.2722964666338495,4.079012560444122,30
