subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,window,grid_spacing_kev,cell_count,training_seed_count,context_count,source_event_predictions_sha256_count,source_event_predictions_sha256_set_sha256,source_curve_sha256_count,source_curve_sha256_set_sha256,mean_absolute_second_difference_cell_mean,mean_absolute_second_difference_cell_sd,mean_absolute_second_difference_mean_of_seed_means,mean_absolute_second_difference_initialization_sd_across_seed_means,mean_absolute_second_difference_mean_context_sd_within_seed,mean_absolute_second_difference_training_subset_sd_across_subset_means
seed20260911_n5000,seed20260911,5k,5000,4980,Attentive CNP + PE,m2,matched_neural,continuum_2200_2400,1.0,30,3,10,30,4386c23e15586047a091a70898834f71c5d42fee4c36cb588bd513f2a770c3a0,30,81a24a17f62962f31643c80d864e1c288cb79e0378297faa2bfb08e7638f2f64,0.19956848005351754,0.021747817495816918,0.19956848005351754,0.025913149795910147,0.003172151571626348,
seed20260911_n5000,seed20260911,5k,5000,4980,Density-guided CNP,ours,matched_neural,continuum_1700_2000,1.0,30,3,10,30,351f08c1d4ea225c0b0ff1a508504cfa505c89b1e5c935d7c4f9b9db86f8fe38,30,2da918278e9f9975f51aada9a60430f84a923ec9dced53b5e3355ce8f602b8bf,0.008208992644977781,0.001304345347701803,0.008208992644977783,0.0015397564189224718,0.00022104378484540815,
seed20260911_n5000,seed20260911,5k,5000,4980,Density-guided CNP,ours,matched_neural,continuum_2200_2400,1.0,30,3,10,30,351f08c1d4ea225c0b0ff1a508504cfa505c89b1e5c935d7c4f9b9db86f8fe38,30,2da918278e9f9975f51aada9a60430f84a923ec9dced53b5e3355ce8f602b8bf,0.007879317846462784,0.0008351677007231183,0.007879317846462784,0.0009663682440439278,0.00021490390526685338,
context_only,not_applicable,context-only,0,0,Kernel,kernel_context_only,context_only_classical,continuum_1700_2000,1.0,10,0,10,1,8581cc0c7ae2294c071318dacc05f531fe43c97b1ccf8b37863b2a454f6a29ca,1,8581cc0c7ae2294c071318dacc05f531fe43c97b1ccf8b37863b2a454f6a29ca,6.1179467495655855e-06,3.059704067726986e-06,,,3.059704067726986e-06,
context_only,not_applicable,context-only,0,0,Kernel,kernel_context_only,context_only_classical,continuum_2200_2400,1.0,10,0,10,1,8581cc0c7ae2294c071318dacc05f531fe43c97b1ccf8b37863b2a454f6a29ca,1,8581cc0c7ae2294c071318dacc05f531fe43c97b1ccf8b37863b2a454f6a29ca,6.8697062405672955e-06,2.1374342955574185e-06,,,2.1374342955574185e-06,
full_n18866_plus_context,not_applicable,18.9k+500,18866,18866,Pooled-data kernel,kernel_pooled_data,stronger_data_control,continuum_1700_2000,1.0,10,0,10,1,8581cc0c7ae2294c071318dacc05f531fe43c97b1ccf8b37863b2a454f6a29ca,1,8581cc0c7ae2294c071318dacc05f531fe43c97b1ccf8b37863b2a454f6a29ca,0.0005349889497628948,0.000758760152904936,,,0.000758760152904936,
full_n18866_plus_context,not_applicable,18.9k+500,18866,18866,Pooled-data kernel,kernel_pooled_data,stronger_data_control,continuum_2200_2400,1.0,10,0,10,1,8581cc0c7ae2294c071318dacc05f531fe43c97b1ccf8b37863b2a454f6a29ca,1,8581cc0c7ae2294c071318dacc05f531fe43c97b1ccf8b37863b2a454f6a29ca,0.00036742350067755185,0.0004834293060113616,,,0.0004834293060113616,
context_only,not_applicable,context-only,0,0,Bernoulli GP,bernoulli_gp_matern32,context_only_classical,continuum_1700_2000,1.0,10,0,10,10,a0aa187830554f790cba28a0fec8df38dc43b4652a896dc3c8d0d7e006652598,10,99d5fe238056d08b0f5ada05d386fc18d6e1ed416f2d862a008f2c1ce9e6dd67,0.0010621340574513078,0.0022639439818951655,,,0.0022639439818951655,
context_only,not_applicable,context-only,0,0,Bernoulli GP,bernoulli_gp_matern32,context_only_classical,continuum_2200_2400,1.0,10,0,10,10,a0aa187830554f790cba28a0fec8df38dc43b4652a896dc3c8d0d7e006652598,10,99d5fe238056d08b0f5ada05d386fc18d6e1ed416f2d862a008f2c1ce9e6dd67,0.0014494845550359213,0.003132931429055806,,,0.003132931429055806,
all_three_5k_subsets,original+seed20260910+seed20260911,5k,5000,,CNP,m0,between_training_subset_summary,continuum_1700_2000,1.0,90,3,10,90,e251eb7eb651ca70ce537bae222cb232f35728a86f198b2cb74e5621aa8f59e9,90,c6bf949af87b63f0f9f829903ff6009e53e79e6c3283464197909841e00582b4,0.005136347512737484,,0.005136347512737484,0.000676444422667532,2.7581795589287232e-05,0.00010280735607066444
all_three_5k_subsets,original+seed20260910+seed20260911,5k,5000,,CNP,m0,between_training_subset_summary,continuum_2200_2400,1.0,90,3,10,90,e251eb7eb651ca70ce537bae222cb232f35728a86f198b2cb74e5621aa8f59e9,90,c6bf949af87b63f0f9f829903ff6009e53e79e6c3283464197909841e00582b4,0.0068692014673777035,,0.0068692014673777035,0.0008645854237696446,9.002908384934736e-05,0.0006238157116319936
all_three_5k_subsets,original+seed20260910+seed20260911,5k,5000,,Attentive CNP,m1,between_training_subset_summary,continuum_1700_2000,1.0,90,3,10,90,40daef980e9a61df4831a719a653b22a2a2c1525ed356ffb94db00a68841925c,90,80ffc6772ba53e086d05d22c9f872438ccc62141f97c61b05f7ddb66053e6fb4,0.005558975620491127,,0.005558975620491127,0.000342224314040094,4.051079293963003e-05,0.00011671625889189741
all_three_5k_subsets,original+seed20260910+seed20260911,5k,5000,,Attentive CNP,m1,between_training_subset_summary,continuum_2200_2400,1.0,90,3,10,90,40daef980e9a61df4831a719a653b22a2a2c1525ed356ffb94db00a68841925c,90,80ffc6772ba53e086d05d22c9f872438ccc62141f97c61b05f7ddb66053e6fb4,0.008223638430471908,,0.008223638430471908,0.0008506014348790558,9.43707192484713e-05,0.00023304979324021034
all_three_5k_subsets,original+seed20260910+seed20260911,5k,5000,,Attentive CNP + PE,m2,between_training_subset_summary,continuum_1700_2000,1.0,90,3,10,90,2b22546ccc790d10ecca86acf2b92038beffe4399499095df83ae262321c4a15,90,64ff3144a6b2958df544ab39a035477953601063def8163bd336f3eb1b419eef,0.2658316834394899,,0.2658316834394899,0.017313069394659375,0.0030022937190295564,0.020098041943425956
all_three_5k_subsets,original+seed20260910+seed20260911,5k,5000,,Attentive CNP + PE,m2,between_training_subset_summary,continuum_2200_2400,1.0,90,3,10,90,2b22546ccc790d10ecca86acf2b92038beffe4399499095df83ae262321c4a15,90,64ff3144a6b2958df544ab39a035477953601063def8163bd336f3eb1b419eef,0.17294796310491792,,0.17294796310491792,0.019903927953837223,0.0021373261664575614,0.029239441323207382
all_three_5k_subsets,original+seed20260910+seed20260911,5k,5000,,Density-guided CNP,ours,between_training_subset_summary,continuum_1700_2000,1.0,90,3,10,90,a2d97121ee63b67acaf73ceebdd287a8a4982707caeebdcd313ebbfa61eee330,90,d35f43b3cc66d951b178000b22103a9422ba40b4ab4de31c3728457e0f1a3145,0.009805027351216716,,0.009805027351216716,0.0011117565296660371,0.00017551450154601825,0.001892444200345585
all_three_5k_subsets,original+seed20260910+seed20260911,5k,5000,,Density-guided CNP,ours,between_training_subset_summary,continuum_2200_2400,1.0,90,3,10,90,a2d97121ee63b67acaf73ceebdd287a8a4982707caeebdcd313ebbfa61eee330,90,d35f43b3cc66d951b178000b22103a9422ba40b4ab4de31c3728457e0f1a3145,0.012333744639767004,,0.012333744639767004,0.001562270658864288,0.00022421637290385066,0.004397679789388077
