variant,method,context_size,context_seed,selected_bandwidth_kev,nominal_pretraining_pool_events,context_events,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,minimum_effective_n
context_only,Gaussian kernel regression (context only),250,100,50.0,0,250,14.334247347518211,13.61706635181464,17.330131669054893,0.24644617109517697,0.23043459285266418,5.615840587783821
context_only,Gaussian kernel regression (context only),250,101,100.0,0,250,10.58475374016656,15.413056319596416,8.490267266651642,0.23858994387784604,0.21039725837468953,18.06360214024196
context_only,Gaussian kernel regression (context only),250,102,100.0,0,250,10.269762327218853,9.148201322003443,11.812088563090544,0.2322436168553191,0.20637453782852008,14.664274458630002
context_only,Gaussian kernel regression (context only),250,103,100.0,0,250,15.963749103667425,5.885664666232075,12.198563992018537,0.23475352096873056,0.22278419600195956,14.287795353763572
context_only,Gaussian kernel regression (context only),250,104,100.0,0,250,13.94245495183721,12.2527351824539,16.053965716443027,0.2360336473544589,0.22386724655178034,1.2656523098280708
context_only,Gaussian kernel regression (context only),250,105,100.0,0,250,8.747753203628141,3.994586903498471,29.618393902018838,0.2318467492370216,0.21870812924964395,9.005883290095461
context_only,Gaussian kernel regression (context only),250,106,100.0,0,250,8.949344051009037,9.239432752347348,15.262578501081133,0.23116338475549827,0.21117486169599015,11.369760598563252
context_only,Gaussian kernel regression (context only),250,107,100.0,0,250,9.60381961677124,14.35127041960548,27.727444632083888,0.23468570796595528,0.22304369373152566,15.578552552468576
context_only,Gaussian kernel regression (context only),250,108,100.0,0,250,8.00004796305773,12.340521716851033,14.257250696226878,0.23628719294697242,0.21369418152627717,1.934015440679556
context_only,Gaussian kernel regression (context only),250,109,100.0,0,250,8.516463109722782,6.110372885547643,13.521547563606182,0.23529972154119894,0.20618752985399383,12.147306051973244
context_only,Gaussian kernel regression (context only),500,100,100.0,0,500,9.13346501897599,6.212956553713183,17.00955432441707,0.23329521539226025,0.212132623143818,1.0438893057682033
context_only,Gaussian kernel regression (context only),500,101,100.0,0,500,11.355233620642089,8.593986984933858,7.792903883280503,0.2330065639213489,0.20482772910425734,1.9460194379123987
context_only,Gaussian kernel regression (context only),500,102,100.0,0,500,9.841306544973904,5.454246343195764,9.695693177918335,0.23028543205850374,0.20692897428644288,25.755585955037994
context_only,Gaussian kernel regression (context only),500,103,100.0,0,500,11.159361051971981,4.078924741379278,21.732102029001318,0.23315974738173376,0.21935995653399337,36.325717418547605
context_only,Gaussian kernel regression (context only),500,104,100.0,0,500,10.878259229904861,8.33242765071541,18.615617184863165,0.23278356236282774,0.21347206496734386,1.546993785422244
context_only,Gaussian kernel regression (context only),500,105,100.0,0,500,9.794851281640277,4.278888263887347,30.074461526837254,0.23073146914920956,0.2206493918751947,20.957187765243177
context_only,Gaussian kernel regression (context only),500,106,100.0,0,500,7.820795370468316,4.918769631000691,18.19798188168827,0.23009172634888103,0.2104238099413034,1.2009726471816355
context_only,Gaussian kernel regression (context only),500,107,100.0,0,500,9.52204643234354,9.039245847803292,23.204855645523534,0.231677587435579,0.21545668736064508,35.32620518960647
context_only,Gaussian kernel regression (context only),500,108,100.0,0,500,7.608736807707029,8.844135614420825,14.07010284518046,0.23242064373317303,0.20663279650673547,2.008409700963136
context_only,Gaussian kernel regression (context only),500,109,100.0,0,500,9.007760229351499,4.913215014660097,19.405245789626917,0.2320515325023591,0.2127511966299583,31.284116357424622
context_only,Gaussian kernel regression (context only),1000,100,100.0,0,1000,8.77939114460954,5.476405971069166,22.407811066843124,0.2311493150477991,0.21167131756896262,1.094546496213706
context_only,Gaussian kernel regression (context only),1000,101,100.0,0,1000,7.530367112622752,8.760303727619537,14.50456223903823,0.23169542596662265,0.20419261575522013,2.2198847136571542
context_only,Gaussian kernel regression (context only),1000,102,100.0,0,1000,9.206149765723737,8.132889069940017,9.522773178983808,0.23104497239553617,0.20715106976689643,67.23463803126866
context_only,Gaussian kernel regression (context only),1000,103,100.0,0,1000,8.464824370062965,5.321694965999614,22.42604981660258,0.23098702308206978,0.21414250770994833,1.0973153614620041
context_only,Gaussian kernel regression (context only),1000,104,100.0,0,1000,9.921772151830545,6.45101964986371,16.898651356996965,0.2315219791011732,0.20944944955012026,1.6062489783370522
context_only,Gaussian kernel regression (context only),1000,105,100.0,0,1000,7.4832989150166185,4.109751385053934,26.379659667638943,0.22955659027870717,0.2140966677876893,54.9940410661413
context_only,Gaussian kernel regression (context only),1000,106,100.0,0,1000,8.550648289600456,4.20901979184789,16.97156130452782,0.22924563714092192,0.2092357345470827,2.092363010262255
context_only,Gaussian kernel regression (context only),1000,107,100.0,0,1000,7.933586167577067,9.936683738016287,15.747167244744226,0.230814060919114,0.21063696145320815,62.57173607271207
context_only,Gaussian kernel regression (context only),1000,108,100.0,0,1000,9.812890404758503,10.01802532270718,14.61453436067682,0.23204166093642745,0.21303966062994364,3.0674325670703713
context_only,Gaussian kernel regression (context only),1000,109,100.0,0,1000,7.7345845141271425,4.225411745060216,19.256055667412973,0.22961856281681525,0.20818341251493858,58.548995541860165
context_only,Gaussian kernel regression (context only),2000,100,100.0,0,2000,7.112504297364778,4.300080204156696,20.14895383214403,0.2295768304184844,0.20862803260420357,1.3905747764544016
context_only,Gaussian kernel regression (context only),2000,101,50.0,0,2000,7.484484062500862,5.214230129767045,7.796438316032756,0.22963014234370685,0.2023721439134037,1.037587056853487
context_only,Gaussian kernel regression (context only),2000,102,100.0,0,2000,7.4618284232354375,5.150821542338618,13.936272256001619,0.229261963748313,0.20468656787518721,20.033396624885707
context_only,Gaussian kernel regression (context only),2000,103,100.0,0,2000,7.592995994483975,4.370512396065617,20.655418646384476,0.22944572838765412,0.21063845939297493,1.9211190519464425
context_only,Gaussian kernel regression (context only),2000,104,100.0,0,2000,8.591716289799086,5.0611072688654515,18.071685427914023,0.22988013026233797,0.20874874471321372,3.272983164026348
context_only,Gaussian kernel regression (context only),2000,105,100.0,0,2000,6.773152895787206,4.144077901703983,17.87960797508926,0.22896388868443526,0.20742808688077782,2.100116462468385
context_only,Gaussian kernel regression (context only),2000,106,50.0,0,2000,7.274201399772832,4.50786953094304,5.514454426127976,0.2290799490353916,0.20148746415966695,1.0269238761401287
context_only,Gaussian kernel regression (context only),2000,107,100.0,0,2000,6.899337143715329,7.128047779899763,15.37964010521114,0.22958165166563976,0.20717399754843638,2.173595969807521
context_only,Gaussian kernel regression (context only),2000,108,50.0,0,2000,9.553623754674552,7.219398456650701,7.1326839873360655,0.2300408449608317,0.20606798416708347,2.13572388264817
context_only,Gaussian kernel regression (context only),2000,109,50.0,0,2000,9.130716638506902,4.279878432010515,12.643003091742417,0.22922834555373683,0.20510543722157798,1.0000000000384595
pooled_data,Gaussian kernel regression (pooled data + context),250,100,2.0,18866,250,6.500703797200315,5.828842696146406,2.6373626373626373,0.22657581862084858,0.18981621224029502,
pooled_data,Gaussian kernel regression (pooled data + context),250,101,10.0,18866,250,8.414171511131773,4.031896294726136,2.6373626373626373,0.22588578390461317,0.19246738961305346,
pooled_data,Gaussian kernel regression (pooled data + context),250,102,10.0,18866,250,8.445552614958833,3.8887905553659756,2.6373626373626373,0.22587766180913754,0.19238955792493573,
pooled_data,Gaussian kernel regression (pooled data + context),250,103,5.0,18866,250,7.638422156419554,4.422439150755249,2.6373626373626373,0.2255060447083242,0.19114292828342822,
pooled_data,Gaussian kernel regression (pooled data + context),250,104,20.0,18866,250,7.858124641786449,3.976358775518052,2.6374584858772994,0.22677948789044705,0.19614445538839945,
pooled_data,Gaussian kernel regression (pooled data + context),250,105,5.0,18866,250,7.960126339720369,4.557518793305699,2.6373626373626373,0.22548334820015697,0.1912387142918304,
pooled_data,Gaussian kernel regression (pooled data + context),250,106,20.0,18866,250,7.795253356246266,3.9189571332403146,2.637458787532141,0.22678143838110937,0.19628550827325866,
pooled_data,Gaussian kernel regression (pooled data + context),250,107,20.0,18866,250,7.81471651423839,3.9081661851052782,2.637460270006553,0.22680890689544667,0.19616906578234586,
pooled_data,Gaussian kernel regression (pooled data + context),250,108,10.0,18866,250,8.280771336112114,3.991697708024983,2.6373626373626373,0.22584631083637985,0.19236996510452165,
pooled_data,Gaussian kernel regression (pooled data + context),250,109,20.0,18866,250,7.845636293527693,3.8363208311065793,2.637458262028682,0.2267726581019468,0.19612859735922053,
pooled_data,Gaussian kernel regression (pooled data + context),500,100,20.0,18866,500,7.751420331333135,3.802111615370238,2.6374602796270867,0.22680370679230227,0.19635024009225963,
pooled_data,Gaussian kernel regression (pooled data + context),500,101,5.0,18866,500,7.840091569500409,4.427178802361392,2.6373626373626373,0.2254900373845754,0.19114379495719672,
pooled_data,Gaussian kernel regression (pooled data + context),500,102,10.0,18866,500,8.476395470133907,3.8723291657826246,2.6373626373626373,0.22583080993713847,0.19239812096521702,
pooled_data,Gaussian kernel regression (pooled data + context),500,103,5.0,18866,500,7.692408588837621,4.3960078128657685,2.6373626373626373,0.225480315971945,0.1912247586841172,
pooled_data,Gaussian kernel regression (pooled data + context),500,104,50.0,18866,500,6.944907405679005,4.144382972880423,6.192035939199203,0.22830084929668554,0.20144621459685472,
pooled_data,Gaussian kernel regression (pooled data + context),500,105,20.0,18866,500,7.859672749545327,3.9472451932689876,2.6374602339474227,0.22674987682957265,0.19600129152326073,
pooled_data,Gaussian kernel regression (pooled data + context),500,106,20.0,18866,500,7.745594963059177,3.86238993778875,2.6374622423387195,0.22675101168018602,0.19625928529041678,
pooled_data,Gaussian kernel regression (pooled data + context),500,107,20.0,18866,500,7.833007682250666,3.898587749512404,2.6374610256776445,0.22681985582659675,0.196097584717058,
pooled_data,Gaussian kernel regression (pooled data + context),500,108,5.0,18866,500,7.713931475177592,4.347446048211297,2.6373626373626373,0.22550113680386455,0.1910228688988198,
pooled_data,Gaussian kernel regression (pooled data + context),500,109,20.0,18866,500,7.819241452799691,3.864216672433855,2.637460329374902,0.2267997196823704,0.19615545781796623,
pooled_data,Gaussian kernel regression (pooled data + context),1000,100,20.0,18866,1000,7.639897462887095,3.746704030357467,2.637464600740149,0.2268037382610717,0.1962855849292337,
pooled_data,Gaussian kernel regression (pooled data + context),1000,101,5.0,18866,1000,7.935220082832458,4.328953999118541,2.6373626373626373,0.2254440781050283,0.19111102105936423,
pooled_data,Gaussian kernel regression (pooled data + context),1000,102,5.0,18866,1000,7.915414100052494,4.329934674903085,2.6373626373626373,0.22546922834694957,0.19091560561695564,
pooled_data,Gaussian kernel regression (pooled data + context),1000,103,5.0,18866,1000,7.292978852946977,4.289180846739338,2.6373626373626373,0.22541408460632026,0.19097941289489756,
pooled_data,Gaussian kernel regression (pooled data + context),1000,104,20.0,18866,1000,7.864683133516262,3.8785008272828874,2.6374645012956437,0.22680126456585137,0.19610325507586518,
pooled_data,Gaussian kernel regression (pooled data + context),1000,105,10.0,18866,1000,8.445304023835657,3.9374177230297818,2.6373626373626373,0.2258202435665183,0.1924223768023581,
pooled_data,Gaussian kernel regression (pooled data + context),1000,106,10.0,18866,1000,8.214590712953202,3.8381866450486246,2.6373626373626373,0.225794228228611,0.19227244926546327,
pooled_data,Gaussian kernel regression (pooled data + context),1000,107,20.0,18866,1000,7.846670912114082,3.93264647911227,2.6374621937017357,0.2268127348535327,0.19616718995890242,
pooled_data,Gaussian kernel regression (pooled data + context),1000,108,5.0,18866,1000,7.577050230890162,4.247925705623809,2.6373626373626373,0.22547393194469198,0.19094304248403957,
pooled_data,Gaussian kernel regression (pooled data + context),1000,109,5.0,18866,1000,7.752732095551897,4.271329288722243,2.6373626373626373,0.22552172880352062,0.19111092312341044,
pooled_data,Gaussian kernel regression (pooled data + context),2000,100,10.0,18866,2000,8.152923460194108,3.8438956359103607,2.6373626373626373,0.22585543124811958,0.19227144487611186,
pooled_data,Gaussian kernel regression (pooled data + context),2000,101,5.0,18866,2000,7.585614083730073,4.321942979518691,2.6373626373626373,0.22537944019559256,0.19099910250213642,
pooled_data,Gaussian kernel regression (pooled data + context),2000,102,5.0,18866,2000,7.920127713892679,4.461903188957734,2.6373626373626373,0.22548317677783383,0.19085082625721347,
pooled_data,Gaussian kernel regression (pooled data + context),2000,103,5.0,18866,2000,7.221016636272583,4.309729831028276,2.6373626373626373,0.22539044590381152,0.19100650309620043,
pooled_data,Gaussian kernel regression (pooled data + context),2000,104,10.0,18866,2000,8.224803670859997,3.872199160984148,2.6373626373626373,0.2257907438447815,0.19218967010729565,
pooled_data,Gaussian kernel regression (pooled data + context),2000,105,5.0,18866,2000,7.607859985234346,4.448750509259085,2.6373626373626373,0.22535849471189406,0.1910276359993363,
pooled_data,Gaussian kernel regression (pooled data + context),2000,106,5.0,18866,2000,7.495690971169417,4.3321270654135065,2.6373626373626373,0.22539409996952625,0.19068241800282845,
pooled_data,Gaussian kernel regression (pooled data + context),2000,107,10.0,18866,2000,8.370558470637873,3.906520189719391,2.6373626373626373,0.22584092650950524,0.1923374004246609,
pooled_data,Gaussian kernel regression (pooled data + context),2000,108,10.0,18866,2000,8.139081339429099,3.723733702396549,2.6373626373626373,0.22585616333604133,0.19231397978916642,
pooled_data,Gaussian kernel regression (pooled data + context),2000,109,5.0,18866,2000,7.562535132689686,4.410312315521475,2.6373626373626373,0.22543314148691193,0.19111618598083893,
