energy_kev,grid_spacing_kev,illustrative__original_n5000__m0,illustrative__original_n5000__m1,illustrative__original_n5000__m2,illustrative__original_n5000__ours,illustrative__context_only__kernel_context_only,illustrative__full_n18866_plus_context__kernel_pooled_data,illustrative__context_only__bernoulli_gp_matern32
500.0,1.0,0.37432315409183503,0.3456399828195572,0.45083680033683776,0.41261637806892393,0.3758697807788849,0.3486618101596832,0.38082879003820835
501.0,1.0,0.36594187557697294,0.3413616490364075,0.36205064356327055,0.41001236975193023,0.37575751543045044,0.3489018380641937,0.37892902399076434
502.0,1.0,0.3613225573301315,0.3408351719379425,0.24508556202054024,0.40526286005973816,0.375644326210022,0.3491685688495636,0.3772770922595612
503.0,1.0,0.36801809310913086,0.34117136895656586,0.2720453622937202,0.39614445209503174,0.3755301535129547,0.3494625389575958,0.37588972966980805
504.0,1.0,0.36481150627136233,0.3493270963430405,0.2992551973462105,0.4094393581151962,0.37541499733924866,0.349784255027771,0.37479255512590726
505.0,1.0,0.3608019387722015,0.34043664813041685,0.3043945863842964,0.4091132205724716,0.3752988874912262,0.35013407468795776,0.3740605639391106
506.0,1.0,0.3719873595237732,0.34161011695861815,0.34531457364559176,0.3980832552909851,0.37518176436424255,0.35051238536834717,0.37382909221395266
507.0,1.0,0.3629876208305359,0.33147540360689165,0.3609533643722534,0.37810752153396604,0.37506362795829773,0.3509193956851959,0.37426304982261627
508.0,1.0,0.36468063354492186,0.3422441649436951,0.32843408137559893,0.3465862935781479,0.3749444782733917,0.35135531425476074,0.3754560761597645
509.0,1.0,0.3731279492378235,0.3398588532209396,0.3293648535013199,0.38511838018894196,0.37482428550720215,0.3518201410770416,0.37748203347999265
510.0,1.0,0.35820099353790286,0.336830974817276,0.2433225095272064,0.24949634879827498,0.3747030198574066,0.352313756942749,0.38041297687740894
511.0,1.0,0.36431250870227816,0.3376778542995453,0.21411097243428232,0.20595783442258836,0.3745807111263275,0.3528358042240143,0.38432735764061476
512.0,1.0,0.3658541965484619,0.3511166051030159,0.27312040284276007,0.21680534571409227,0.37445732951164246,0.3533858358860016,0.38921363411324705
513.0,1.0,0.3664811235666275,0.34851192712783813,0.23205315962433815,0.2583620885014534,0.37433287501335144,0.3539629876613617,0.39491017982757626
514.0,1.0,0.36056581914424896,0.3439055186510086,0.3013539206981659,0.3650847315788269,0.3742072880268097,0.3545662760734558,0.4012078656574545
