subset_id,ordering_id,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,training_seed,context_seed,context_size,peak_mae_percentage_points,continuum_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,100,500,9.66199635375838,4.887380418465462,16.930079858625334,0.2385088533676226,0.21228377139818105,0.8552636238746345,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s100-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,101,500,9.53751724964851,4.922853808393944,16.801334659649648,0.23805017187916666,0.21201856672660227,1.0654168780893087,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s101-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,102,500,9.590449669233294,4.896268925639421,16.81377521827092,0.23833067383534334,0.21210553865943402,1.1478865048848093,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s102-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,103,500,9.796476316448244,4.9225749011067155,17.343914149447613,0.23847878263459907,0.21274518469316178,1.3716275827027857,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s103-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,104,500,9.548478028901522,4.940269919137487,16.90968282377712,0.23793913800543867,0.21209531104247975,1.0113111133687198,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s104-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,105,500,9.768107630270723,4.907509774813411,17.263826700998134,0.23852527536482135,0.2126428398635321,0.8385889390483499,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s105-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,106,500,9.669711627420618,4.907044434251588,17.026486505898593,0.23837265998000418,0.21235202152917856,0.787199464160949,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s106-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,107,500,9.795620208354242,4.912368944995022,17.32242582134302,0.23854391912142975,0.21272616149822426,1.1837882259860635,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s107-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,108,500,9.881925893103777,4.909397392878149,17.466841014948482,0.23872929283461522,0.21295828541705686,0.7145239780656993,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s108-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,0,109,500,9.515253928484155,4.922184960165456,16.776542311945025,0.23801684472468823,0.2119664111365478,1.1493536443449557,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed0-final-ctx-s109-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,1,100,500,7.423087379200576,6.680385467012344,13.057120132974381,0.23244436429824408,0.20726309209180388,0.7606381578370929,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed1-final-ctx-s100-n500-drop10100-mc50
seed20260910_n5000,seed20260910,5000,4981,CNP,m0,1,101,500,7.475021825603072,6.470743023923325,13.462955866226986,0.23257744920370035,0.20751199372740883,0.85591528005898,226.38232421875,20260909-phase3-seed20260910_n5000-m0-seed1-final-ctx-s101-n500-drop10100-mc50
