context_size,context_draws,family,peak_mae_percentage_points_mean,peak_mae_percentage_points_context_sd,continuum_mae_percentage_points_mean,continuum_mae_percentage_points_context_sd,sparse_tail_mae_percentage_points_mean,sparse_tail_mae_percentage_points_context_sd,global_brier_mean,global_brier_context_sd,equal_region_brier_mean,equal_region_brier_context_sd,fit_seconds_mean,fit_seconds_context_sd,target_prediction_seconds_mean,target_prediction_seconds_context_sd,peak_rss_mib_mean,peak_rss_mib_context_sd,total_warning_count
250,10,ConstantKernel * Matern(nu=1.5),10.359691983619156,1.4536202996516532,7.891823990547448,3.374849030279674,38.92461704568974,10.586788035424398,0.23409914197698525,0.0017057519050649728,0.23183013706313807,0.008385137804122754,0.21172325839288533,0.030102729846061795,2.4631120055448266,0.5864503029387624,1464.35078125,0.42178175409834623,0
500,10,ConstantKernel * Matern(nu=1.5),9.96575153849432,1.3139584364096641,6.737554725382071,2.2656098948591326,38.16606681591527,11.086499649780768,0.23254377471672982,0.0013441119722341127,0.22843842363641903,0.00975577432102059,0.9875886932946741,0.20268807607963624,6.524855799786747,1.7770051470069912,2782.090234375,3.1717351940059983,0
1000,10,ConstantKernel * Matern(nu=1.5),8.936683959281174,1.4772657644226204,6.804084798482184,2.434993745008578,34.14538688007253,12.76336845756107,0.2308349039650292,0.000977917597134292,0.22207030939174605,0.00877808849515525,7.3792066428810354,2.7432962238125462,10.641910675959661,2.906951349311156,5435.004296875,9.435423130003144,1
2000,10,ConstantKernel * Matern(nu=1.5),7.682404514420083,0.7078836063711441,5.879356327900885,1.5743316523785171,35.132237763128856,12.627646409073902,0.22912202829771228,0.0008710736416722073,0.2195371950068979,0.0068232499289052305,40.47620135704055,12.145298470131028,17.841245116619394,7.493148502116023,10722.7203125,0.755231231693084,1
