energy_kev,grid_spacing_kev,mean__original_n5000__m0,mean__original_n5000__m1,mean__original_n5000__m2,mean__original_n5000__ours,mean__seed20260910_n5000__m0,mean__seed20260910_n5000__m1,mean__seed20260910_n5000__m2,mean__seed20260910_n5000__ours,mean__seed20260911_n5000__m0,mean__seed20260911_n5000__m1,mean__seed20260911_n5000__m2,mean__seed20260911_n5000__ours,mean__context_only__kernel_context_only,mean__full_n18866_plus_context__kernel_pooled_data,mean__context_only__bernoulli_gp_matern32
500.0,1.0,0.38501062542200093,0.36822391086816797,0.4722583041290441,0.4273027907013894,0.4130753853321074,0.389529297153155,0.6985499119261901,0.45724691919485727,0.3849185354312262,0.3818609769543012,0.36733447207013764,0.407494800289472,0.3387023270130157,0.3578218579292297,0.38634734836277146
501.0,1.0,0.3786430141528448,0.368350921591123,0.3824716442624727,0.4183079669674237,0.40707591021060946,0.38687917939821875,0.4314976201852163,0.4567787554860115,0.3776595756610235,0.3759240996638934,0.36137597083052003,0.39411222769816734,0.3387212634086609,0.3549219399690628,0.3772074719544761
502.0,1.0,0.37832815549770993,0.370049733688434,0.3162163481463988,0.4154253596067429,0.4075810135801633,0.3919162716269493,0.26837549224495894,0.4577241560618084,0.3770578195651372,0.380433600962162,0.3444722950359186,0.3902334871888161,0.33874039351940155,0.3521114826202393,0.36923667997586873
503.0,1.0,0.38509845334291454,0.3659444646139941,0.32703305681546524,0.41370240986347206,0.4124232032497723,0.38887675368785857,0.30056137588620196,0.4537876700361571,0.3847396353880565,0.376042280515035,0.35259294531742735,0.38894896233081816,0.338759708404541,0.3494798868894577,0.3638046162910499
504.0,1.0,0.3794663939277331,0.37124249839782714,0.3530961882174015,0.42077336655060454,0.408533666630586,0.3923019358515739,0.4725546232263248,0.456326594432195,0.3771789613366127,0.3786441566348076,0.35644114128748583,0.39431618488828346,0.338779217004776,0.3470996081829071,0.35980683459505514
505.0,1.0,0.3825659970839819,0.36975827380021425,0.34885529001553855,0.41840596580505374,0.40967912312348687,0.3914816844264667,0.6082310019930205,0.4558855662345885,0.37959350687265386,0.380475008547306,0.28011111747721834,0.3944969526529312,0.33879891932010653,0.3450208276510239,0.35484671221338715
506.0,1.0,0.3880178854266803,0.36766333234310145,0.3913500200609365,0.41246973113218943,0.41265771208206814,0.38794851509730033,0.5706228402853012,0.453830724398295,0.38752615847190225,0.37882736432552344,0.20608154590427877,0.39170781662066784,0.3388188272714615,0.34327157139778136,0.35573379081925205
507.0,1.0,0.3793559269110362,0.3647053938408693,0.41634433664878207,0.4030552383462588,0.40639551411072417,0.3881426431337992,0.4349518916408221,0.44605553116401025,0.37984311910470325,0.3802957214911779,0.173314086265862,0.3737744735876719,0.3388389259576797,0.34186181128025056,0.3570332992960822
508.0,1.0,0.3826873558958372,0.3684529647429785,0.40689007910092667,0.3722272486289342,0.4100209624369939,0.3856289790272712,0.27988183693091073,0.27643913973371187,0.3797776248256366,0.37504257355133697,0.23646009300028287,0.3385775287747383,0.3388592392206192,0.3407895028591156,0.3535005321726622
509.0,1.0,0.38568444581826533,0.3695273895462354,0.3481508154571057,0.37850385634104416,0.4095282127459845,0.39307430261373527,0.26571797806024555,0.29781056417028107,0.38256887916723886,0.3828065089186033,0.259099535142382,0.3051156890193621,0.3388797640800476,0.34004664719104766,0.34696538909982166
510.0,1.0,0.37792709485689796,0.36763856548070906,0.28800823467969894,0.2518157960673173,0.40361405199766154,0.38879760690530135,0.24972757585346692,0.23815298203627266,0.37669581399361285,0.37860289442539224,0.27564068355659643,0.29389353988567984,0.338900500535965,0.3396246820688248,0.3305324207695179
511.0,1.0,0.38366310292482364,0.3676048719684283,0.24044387869040176,0.20583612678448357,0.41308532232046125,0.38881350952386845,0.280719762702783,0.25016384353240334,0.38315400393803917,0.37759581081072485,0.2664413021802903,0.3259112372001012,0.33892145156860354,0.33951862156391144,0.34127330281918944
512.0,1.0,0.3861959521969159,0.3741374136706193,0.27159526958564917,0.2285870998601119,0.41104736081759125,0.3959575445652008,0.3200043554107348,0.40026587980985645,0.38453034534056985,0.38179971359173465,0.3166495643059413,0.37168253466486934,0.3389426231384277,0.3397301912307739,0.3564730171064966
