region,paired_context_draws,cell17_brier_mean,m2_brier_mean,mean_brier_difference_cell17_minus_m2,std_difference_across_context,cell17_better_draws,ties,m2_better_draws
full,10,0.22562063293627652,0.23175503348692023,-0.006134400550643787,0.00041917572815781474,10,0,0
DEP,10,0.20316732137398658,0.20370900110418297,-0.0005416797301963678,0.0012124514598172867,5,0,5
Bi-214,10,0.28229391726017333,0.29761283032827823,-0.015318913068104918,0.0009944997088029547,10,0,0
continuum_1700_2000,10,0.2491274124968143,0.26986898201196663,-0.020741569515152332,0.0002622756610939339,10,0,0
SE,10,0.2004189192569282,0.18414527635937525,0.016273642897552936,0.000427273745653612,0,0,10
continuum_2200_2400,10,0.2512476933806468,0.25010482149432217,0.0011428718863246035,0.00029558589646753287,0,0,10
FE,10,0.18783954704757994,0.1833008213859912,0.004538725661588766,0.0003607459932112477,0,0,10
equal_region_mean,10,0.2341854978884285,0.23700654631598667,-0.0028210484275581873,0.0002803610972551532,10,0,0
