method,architecture_id,context_size,training_seed,overlapping_context_draw_count,peak_region_mean_mae_percentage_points_context_mean,peak_region_mean_mae_percentage_points_context_sd,peak_region_mean_mae_percentage_points_context_range,continuum_region_mean_mae_percentage_points_context_mean,continuum_region_mean_mae_percentage_points_context_sd,continuum_region_mean_mae_percentage_points_context_range,sparse_tail_mae_percentage_points_context_mean,sparse_tail_mae_percentage_points_context_sd,sparse_tail_mae_percentage_points_context_range,global_brier_context_mean,global_brier_context_sd,global_brier_context_range,equal_region_brier_context_mean,equal_region_brier_context_sd,equal_region_brier_context_range
CNP,m0,250,0,10,7.637580822528333,0.02078950052747564,0.07808158946927701,4.535715752387681,0.059657591881894415,0.1713528843441985,9.555061428124443,0.2938230764648675,0.9741671147009985,0.233176031278883,0.0002978100344484758,0.0008158669007816699,0.20614317295214102,0.00031861595713418816,0.0009924802821921208
CNP,m0,500,0,10,7.647041170465845,0.023992385984086134,0.06876589416108914,4.570879310317992,0.05796980356533515,0.15399743534914023,9.363250144621004,0.2739595999174094,0.7068261349620961,0.23303464993616047,0.0002506326699290544,0.0007516467073832578,0.2059453556823116,0.0002745181979977155,0.0006715985144460368
CNP,m0,1000,0,10,7.664383588421853,0.06046974822431882,0.16603552046296421,4.615936441565708,0.10686601208406098,0.31920996635442567,9.213052777448237,0.3427600542453285,0.9833069522213567,0.23291427271861936,0.00029324520180487,0.0008998851586795586,0.20580529967404598,0.00031035289087753777,0.0008942917668525174
CNP,m0,2000,0,10,7.640268969614311,0.016018200516065544,0.04755350693041027,4.579647509778497,0.040747704645395476,0.13071501871550062,9.31655748211197,0.16697931517773154,0.5167914058805803,0.23297794991134016,0.0001833368737636843,0.00057589595954044,0.2058856505742011,0.00018090769640091757,0.0005693644466311931
CNP,m0,250,1,10,8.292147136481683,0.07682696146253437,0.27046724551797574,4.490053161047823,0.1302348222979287,0.46532904719981794,7.428722095980843,0.2208273039936159,0.7756532639831333,0.2313145411538715,8.717876876613597e-05,0.00026436824186301666,0.20538602904756592,9.258545183724941e-05,0.0003212925855777815
CNP,m0,500,1,10,8.344175237778582,0.06883238803196452,0.18716112963718246,4.574406070022612,0.12279227925309891,0.3439664975356367,7.283694812687436,0.19575439570164832,0.5338760892598042,0.23128522729327955,6.3426447637828e-05,0.00020342962907210493,0.20533669397082704,6.754071571833054e-05,0.00020070719760198474
CNP,m0,1000,1,10,8.384875575774931,0.083254573587691,0.24364580114420953,4.6517459825546545,0.17392881090966883,0.4979021026903201,7.173836491344669,0.23027417799553906,0.6530123837736515,0.23127129637323435,4.53770980164109e-05,0.00014480711683967362,0.20531092585270155,5.693288042307059e-05,0.0001608510229413329
CNP,m0,2000,1,10,8.356907958930837,0.03952968775858215,0.11970256148248737,4.5880805695271025,0.07441202738099974,0.22730031846320475,7.24979532574319,0.11387113048212706,0.3481248803477479,0.2312817485086908,3.57394398409185e-05,0.00011284464023050833,0.20532359121882804,4.274848555934463e-05,0.00014027885937203943
CNP,m0,250,2,10,7.995544882889999,0.048001419654711316,0.16090876900622586,4.602676550310223,0.044892535101552465,0.15220272758730768,8.783231277009568,0.26308510593807416,1.0025904257946419,0.2352265334744879,0.0005695062750931057,0.002166928432025206,0.2069696627104883,0.00032222987651425554,0.0012204451830427898
CNP,m0,500,2,10,7.988903439544828,0.03923779403920323,0.1170693985045057,4.6107205221260035,0.03308781355145137,0.10478049995091254,8.667672434779439,0.20857006044271642,0.6176318285577427,0.2350496071396319,0.00043209629690346186,0.0013467540929234523,0.2068787205018173,0.00024136278419615735,0.0007562411423123194
CNP,m0,1000,2,10,7.982628453377875,0.02387990155437256,0.07023716533197444,4.622504875382837,0.0384361845102151,0.09634817659910766,8.564614019972058,0.20569246623268678,0.5753573410090969,0.23486523890773006,0.0003648439929209642,0.0009689648830275288,0.20678050422628305,0.00019267230998008735,0.0004993781280802079
CNP,m0,2000,2,10,7.980494527406028,0.02041935697436284,0.0722956535980197,4.607795291394362,0.02008374476118718,0.06186198499210427,8.628570366715149,0.1147090031450561,0.368638776474846,0.2349712138124987,0.00022600378167999128,0.0007463499423517872,0.20683374120154513,0.00012388002196243308,0.0004161985490066522
Attentive CNP,m1,250,0,10,8.162160774918618,0.04405387328974546,0.14717243045508077,6.299635025970273,0.06159231624158845,0.2039295872700393,7.204453715385116,0.08905794146924784,0.29494270456013094,0.2320171488743092,4.4372195864562716e-05,0.00016444923631539488,0.20614089526634283,6.919745324497528e-05,0.00022668362775637996
Attentive CNP,m1,500,0,10,8.122830513206603,0.036706608867200535,0.10394199479354427,6.276476482293637,0.04857891074297427,0.15893834248471173,7.118108953163889,0.07186704505585163,0.215518152662999,0.23203689568596303,3.421059514257392e-05,9.930471137958863e-05,0.20615245842441188,5.5582511335776656e-05,0.00017947592256817302
Attentive CNP,m1,1000,0,10,8.14550177667482,0.027414172107369007,0.07994406745891602,6.2736523757001885,0.03451471554314144,0.10745059450945771,7.206004385562667,0.04765138756996041,0.1685336896692773,0.23204670420069018,3.364336167340329e-05,0.00010833218716099768,0.20615950153516566,6.210781678475564e-05,0.00017987198361152368
Attentive CNP,m1,2000,0,10,8.15550940185743,0.013948872390219906,0.04329083541375489,6.265944851159036,0.017577065098583134,0.05613420422303683,7.258672472638013,0.0203041834011518,0.06651619280254728,0.23203022798077738,1.9073908958910667e-05,5.640540604076594e-05,0.20613285884513965,3.420648623509334e-05,9.611365462805499e-05
Attentive CNP,m1,250,1,10,8.63513359760057,0.010243251606047712,0.033009593732304054,5.431776275710894,0.04419610262102445,0.14794529191888728,7.440189275680733,0.0429718088602938,0.1370022775768902,0.23111067868731444,2.837772233895817e-05,9.326306256624006e-05,0.2061498089315789,4.671024966026006e-05,0.0001448634233418289
Attentive CNP,m1,500,1,10,8.60946348216077,0.006108096332294072,0.01972879108447856,5.4336515804262735,0.04254304266715546,0.12556130662456777,7.329455099127695,0.03315674311699422,0.11115425900600329,0.23111212344467477,2.1049895155940398e-05,6.45643793574513e-05,0.20618417802805028,3.813589887837766e-05,0.0001290414889691116
Attentive CNP,m1,1000,1,10,8.628377448890557,0.006824959009238802,0.019777830356975556,5.440550324281814,0.0531447376638126,0.15441254878462285,7.346101817616095,0.028446538377530382,0.07533910212552808,0.2311174927438624,1.473694999076563e-05,5.2863999890684354e-05,0.20617420594790628,4.4497767619015055e-05,0.000127288054196234
Attentive CNP,m1,2000,1,10,8.605155083512047,0.0027787855360424944,0.010496533927446094,5.426130200915009,0.01837618287260673,0.050280588347773936,7.426036743928869,0.01142656173466861,0.04156925615024232,0.23112258272351188,1.029790813989612e-05,3.43573481418058e-05,0.20617394355616975,2.064570569762629e-05,6.200741065837123e-05
Attentive CNP,m1,250,2,10,7.99939230580671,0.03987549390180834,0.14027180434001352,4.882440151661829,0.031041118440224547,0.09264959698866093,8.956889457651629,0.08771194935963468,0.2507078416599473,0.23384444454789916,3.6993854711898245e-05,0.00011621270435777098,0.2072888562829148,5.173777425136821e-05,0.00018440317509541004
Attentive CNP,m1,500,2,10,8.00294776512477,0.03183971904082522,0.10722803139401993,4.889703974272754,0.028633749955493237,0.09690059235950788,8.995219443118913,0.0767233089644648,0.26216647760185907,0.23386425774842898,2.7204112738783623e-05,7.884670491301038e-05,0.20737469132458664,3.0125188761045687e-05,9.318717146955535e-05
