training_budget,nominal_unique_events,sampling_eligible_unique_events,sampling_excluded_unique_events,nonempty_10kev_bins,kept_minimum_four_event_bins,density_pool_unique_events,nominal_identity_sha256,effective_identity_sha256,density_identity_sha256,subset_file_sha256
2000,2000,1895,105,209,159,2000,f70153a5ed4b2c1311ae132479ca6d10f2833061e97e3d938face4156e54de38,bdcad80d0f7ff34cff0b310c70f261110f05a8add4ecd7f6c037dd32537ed6f5,f70153a5ed4b2c1311ae132479ca6d10f2833061e97e3d938face4156e54de38,b602b8aadccac3af699c9aa346281def2e7f399d26cf30c2cf9f32237c3d12c1
5000,5000,4984,16,215,205,5000,f95675afe3e3c81302ea25ced122533a470114f99b2b3948ac7e3fb7d197754a,bd8bcdaf1106b23c048d4ee89cc97bc05771076041f205bdd639361e389a3f71,f95675afe3e3c81302ea25ced122533a470114f99b2b3948ac7e3fb7d197754a,97e406572d2c986a0ba1cbfbf88d9c9a2d57d86c60c71fb1b7ef181a6bc6becf
