bin_center_kev,event_count,supported_minimum_four_events,empirical_acceptance
502.5,919,True,0.39608269858541895
507.5,1903,True,0.34314240672622176
512.5,5911,True,0.28387751649467097
517.5,837,True,0.4074074074074074
522.5,780,True,0.40384615384615385
527.5,789,True,0.38022813688212925
532.5,759,True,0.3965744400527009
537.5,729,True,0.39780521262002744
542.5,757,True,0.40554821664464996
547.5,754,True,0.3806366047745358
552.5,712,True,0.3651685393258427
557.5,658,True,0.3541033434650456
562.5,680,True,0.36764705882352944
567.5,646,True,0.38390092879256965
572.5,686,True,0.35276967930029157
577.5,652,True,0.37116564417177916
582.5,14374,True,0.25100876582718795
587.5,428,True,0.5186915887850467
592.5,380,True,0.45526315789473687
597.5,395,True,0.4379746835443038
602.5,411,True,0.45012165450121655
607.5,394,True,0.43147208121827413
612.5,393,True,0.43765903307888043
617.5,350,True,0.44857142857142857
622.5,367,True,0.41689373297002724
627.5,325,True,0.4553846153846154
632.5,341,True,0.4633431085043988
637.5,336,True,0.45535714285714285
642.5,357,True,0.48739495798319327
647.5,330,True,0.4696969696969697
652.5,365,True,0.4547945205479452
657.5,350,True,0.42857142857142855
662.5,331,True,0.4078549848942598
667.5,303,True,0.4521452145214521
672.5,316,True,0.4177215189873418
677.5,329,True,0.4376899696048632
682.5,307,True,0.42671009771986973
687.5,303,True,0.40594059405940597
692.5,298,True,0.42953020134228187
697.5,275,True,0.3709090909090909
702.5,304,True,0.4473684210526316
707.5,281,True,0.41637010676156583
712.5,311,True,0.3987138263665595
717.5,313,True,0.43769968051118213
722.5,339,True,0.3775811209439528
727.5,3356,True,0.22824791418355184
732.5,236,True,0.4788135593220339
737.5,252,True,0.4444444444444444
742.5,259,True,0.4826254826254826
747.5,246,True,0.4796747967479675
752.5,229,True,0.5065502183406113
757.5,201,True,0.4228855721393035
762.5,489,True,0.3210633946830266
767.5,197,True,0.40609137055837563
772.5,196,True,0.37244897959183676
777.5,247,True,0.4493927125506073
782.5,350,True,0.3514285714285714
787.5,523,True,0.28680688336520077
792.5,229,True,0.4410480349344978
797.5,193,True,0.5077720207253886
802.5,183,True,0.453551912568306
807.5,205,True,0.5073170731707317
812.5,178,True,0.4606741573033708
817.5,196,True,0.45408163265306123
822.5,183,True,0.44808743169398907
827.5,170,True,0.5117647058823529
832.5,197,True,0.5177664974619289
837.5,184,True,0.47282608695652173
842.5,178,True,0.4101123595505618
847.5,190,True,0.47368421052631576
852.5,185,True,0.5027027027027027
857.5,630,True,0.2571428571428571
862.5,1538,True,0.21976592977893367
867.5,169,True,0.5207100591715976
872.5,173,True,0.5375722543352601
877.5,139,True,0.48201438848920863
882.5,152,True,0.506578947368421
887.5,185,True,0.5243243243243243
892.5,332,True,0.37650602409638556
897.5,154,True,0.5064935064935064
902.5,146,True,0.4931506849315068
907.5,154,True,0.474025974025974
912.5,167,True,0.5508982035928144
917.5,154,True,0.5194805194805194
922.5,170,True,0.4764705882352941
927.5,216,True,0.4537037037037037
932.5,159,True,0.5157232704402516
937.5,148,True,0.5067567567567568
942.5,167,True,0.5329341317365269
947.5,159,True,0.4968553459119497
952.5,239,True,0.4351464435146444
957.5,143,True,0.46153846153846156
962.5,149,True,0.5302013422818792
967.5,135,True,0.4740740740740741
972.5,166,True,0.5963855421686747
977.5,162,True,0.46296296296296297
982.5,163,True,0.49079754601226994
987.5,142,True,0.5915492957746479
992.5,149,True,0.48322147651006714
997.5,129,True,0.5038759689922481
1002.5,143,True,0.5244755244755245
1007.5,138,True,0.572463768115942
1012.5,146,True,0.5547945205479452
1017.5,141,True,0.5177304964539007
1022.5,130,True,0.43846153846153846
1027.5,156,True,0.5384615384615384
1032.5,132,True,0.5227272727272727
1037.5,125,True,0.496
1042.5,149,True,0.48322147651006714
1047.5,133,True,0.6015037593984962
1052.5,136,True,0.5882352941176471
1057.5,129,True,0.5271317829457365
1062.5,157,True,0.5159235668789809
1067.5,131,True,0.5038167938931297
1072.5,143,True,0.5664335664335665
1077.5,362,True,0.27071823204419887
