context_seed,selected,bandwidth_kev,mean_cv_brier,std_cv_brier_across_folds
100,False,2.0,0.26789056616652723,0.01544574179068353
100,False,5.0,0.23922578545123963,0.014030076598179736
100,False,10.0,0.23204815815102187,0.012746674244114995
100,False,20.0,0.22980421241539034,0.011564584724528855
100,False,50.0,0.2277101046159816,0.01041078600477337
100,True,100.0,0.22769623206159,0.008862421648004545
101,False,2.0,0.2688422043960421,0.015850732381916185
101,False,5.0,0.2400929312006454,0.010805186927128537
101,False,10.0,0.23241655069078465,0.01023643852579678
101,False,20.0,0.2304255788695367,0.009453951199360081
101,True,50.0,0.22910925882493638,0.00720231785916095
101,False,100.0,0.22937625860905747,0.006143061928509391
102,False,2.0,0.2661450782354982,0.010490364548851043
102,False,5.0,0.23536970839580182,0.005767086260518391
102,False,10.0,0.22938802698861488,0.0057816207119993305
102,False,20.0,0.22851166127558256,0.005923776605522212
102,False,50.0,0.2272788890142881,0.005155756346552054
102,True,100.0,0.22697573795857912,0.004896492060773091
103,False,2.0,0.26484458213989376,0.012244129806696924
103,False,5.0,0.23834360213093625,0.013302291886506825
103,False,10.0,0.23150664504234375,0.012627677789857683
103,False,20.0,0.22876781501189686,0.009483336649329589
103,False,50.0,0.2263740095409999,0.007153744613359765
103,True,100.0,0.2261130966317561,0.006882348600053239
104,False,2.0,0.2710914546189671,0.009510467357490827
104,False,5.0,0.24600074605881933,0.007847962844874235
104,False,10.0,0.23765161789315264,0.009804437173010497
104,False,20.0,0.23402353309286306,0.010038732858089303
104,False,50.0,0.23151797646350608,0.008421094142857622
104,True,100.0,0.23100352039240618,0.007821610500663968
105,False,2.0,0.27434388968895485,0.015079156382780132
105,False,5.0,0.24136801635765512,0.010216224371996901
105,False,10.0,0.23289324657768523,0.00997948374120812
105,False,20.0,0.22937925885327926,0.011151058885474689
105,False,50.0,0.22727653136177142,0.009961766413296082
105,True,100.0,0.22660368111972998,0.008456167140900812
106,False,2.0,0.2708674756106129,0.006034395546040334
106,False,5.0,0.2407027175419875,0.008275618042947113
106,False,10.0,0.23070001961463876,0.008909867066701365
106,False,20.0,0.2271175339880705,0.008503310435738948
106,True,50.0,0.22490455177132054,0.006643340163623942
106,False,100.0,0.22553678311870723,0.006342730356614742
107,False,2.0,0.2769934884730781,0.012461808903476219
107,False,5.0,0.2474793793953327,0.011812163039985796
107,False,10.0,0.23794328825270483,0.007209648199545655
107,False,20.0,0.23314587823718683,0.006999835769419746
107,False,50.0,0.2313263262572383,0.005982036424545135
107,True,100.0,0.2303992179735836,0.005769163740990816
108,False,2.0,0.2698881400933943,0.015417439071152315
108,False,5.0,0.23909649539731812,0.012017165934571845
108,False,10.0,0.23167267692384788,0.011680788444874354
108,False,20.0,0.22879772865737685,0.010436086902283453
108,True,50.0,0.22635464096247646,0.009423282242054251
108,False,100.0,0.2263983313851296,0.009465468918579712
109,False,2.0,0.2684718285161063,0.01267383469113383
109,False,5.0,0.24007837098049714,0.006653577476717298
109,False,10.0,0.2325016902185085,0.004550577105558277
109,False,20.0,0.22912220902768093,0.004070889234033242
109,True,50.0,0.2272856910884295,0.0035225582600783172
109,False,100.0,0.22762711731697713,0.004097522872421464
