training_seed,region,paired_context_draw_count,mean_brier_difference_cell17_minus_m2,std_difference_across_context,cell17_better_draws,ties,m2_better_draws
0,full,10,-0.006390058665059326,0.00039972163490921767,10,0,0
0,DEP,10,-0.0057324966007112205,0.0005812074664476402,10,0,0
0,Bi-214,10,-0.013257695755505705,0.0006483157788651887,10,0,0
0,continuum_1700_2000,10,-0.01486102885809032,0.0005291380820758382,10,0,0
0,SE,10,-0.0020307155347639772,0.0003662722867257279,10,0,0
0,continuum_2200_2400,10,-0.008604320137492882,0.0009518690023233026,10,0,0
0,FE,10,-0.0010842748831707744,9.950186378550148e-05,10,0,0
0,sparse_tail,10,-0.0492981301170997,0.003717714969255945,10,0,0
0,equal_region_mean,10,-0.013552665983833498,0.0004187702690120125,10,0,0
1,full,10,-0.0053381007576218525,0.00027264855256487895,10,0,0
1,DEP,10,-0.005123198545517982,0.00042764132446437337,10,0,0
1,Bi-214,10,-0.011643367505050083,0.0006589262377801666,10,0,0
1,continuum_1700_2000,10,-0.010365520251858263,0.00039510179478779853,10,0,0
1,SE,10,-0.00033629561401641304,0.00020308320432643466,9,0,1
1,continuum_2200_2400,10,-0.008480801143968625,0.0006775960931721799,10,0,0
1,FE,10,-0.00035965759979623144,0.00037669848618380504,8,0,2
1,sparse_tail,10,-0.045144798185877064,0.005035694009416698,10,0,0
1,equal_region_mean,10,-0.011636234120869232,0.0006435792855209759,10,0,0
2,full,10,-0.004975201612137206,0.00020768799848033316,10,0,0
2,DEP,10,-0.0035167257932120057,0.0003419648121025685,10,0,0
2,Bi-214,10,-0.011585489521351614,0.0005564369364189048,10,0,0
2,continuum_1700_2000,10,-0.011094027697205406,0.0004063794285066731,10,0,0
2,SE,10,0.0006933499676667676,0.00013317651759348385,0,0,10
2,continuum_2200_2400,10,-0.005916908287243158,0.0005772638483070615,10,0,0
2,FE,10,-0.0004567510316565576,0.00015886569607966017,10,0,0
2,sparse_tail,10,-0.038265135468573214,0.004594338593452831,10,0,0
2,equal_region_mean,10,-0.010020241118796458,0.0005500854324690753,10,0,0
