variant,method,context_size,energy_kev,mean_across_contexts,sd_across_overlapping_contexts
context_only,Gaussian kernel regression (context only),500,500.0,0.3387023270130157,0.04492363609764721
context_only,Gaussian kernel regression (context only),500,501.0,0.3387212634086609,0.04488992968328461
context_only,Gaussian kernel regression (context only),500,502.0,0.33874039351940155,0.044856112366601905
context_only,Gaussian kernel regression (context only),500,503.0,0.338759708404541,0.044822178671283124
context_only,Gaussian kernel regression (context only),500,504.0,0.338779217004776,0.044788121274440346
context_only,Gaussian kernel regression (context only),500,505.0,0.33879891932010653,0.04475394090506374
context_only,Gaussian kernel regression (context only),500,506.0,0.3388188272714615,0.04471964679356393
context_only,Gaussian kernel regression (context only),500,507.0,0.3388389259576797,0.04468522847162193
context_only,Gaussian kernel regression (context only),500,508.0,0.3388592392206192,0.04465067852695561
context_only,Gaussian kernel regression (context only),500,509.0,0.3388797640800476,0.04461599672913144
context_only,Gaussian kernel regression (context only),500,510.0,0.338900500535965,0.04458118188885781
context_only,Gaussian kernel regression (context only),500,511.0,0.33892145156860354,0.04454623350840773
context_only,Gaussian kernel regression (context only),500,512.0,0.3389426231384277,0.044511152319975406
context_only,Gaussian kernel regression (context only),500,513.0,0.33896402418613436,0.044475926655607456
context_only,Gaussian kernel regression (context only),500,514.0,0.33898564875125886,0.044440553277292544
context_only,Gaussian kernel regression (context only),500,515.0,0.339007505774498,0.044405041792731886
context_only,Gaussian kernel regression (context only),500,516.0,0.3390296012163162,0.04436938553685717
context_only,Gaussian kernel regression (context only),500,517.0,0.33905192613601687,0.04433356922682417
context_only,Gaussian kernel regression (context only),500,518.0,0.33907449543476104,0.044297602144426254
context_only,Gaussian kernel regression (context only),500,519.0,0.3390973061323166,0.04426148130747513
context_only,Gaussian kernel regression (context only),500,520.0,0.3391203671693802,0.04422520447769782
context_only,Gaussian kernel regression (context only),500,521.0,0.33914367854595184,0.04418876495822431
context_only,Gaussian kernel regression (context only),500,522.0,0.33916725516319274,0.04415216833033039
context_only,Gaussian kernel regression (context only),500,523.0,0.33919107019901273,0.0441154061967746
context_only,Gaussian kernel regression (context only),500,524.0,0.33921516239643096,0.04407846359943909
context_only,Gaussian kernel regression (context only),500,525.0,0.3392395079135895,0.044041358466496074
context_only,Gaussian kernel regression (context only),500,526.0,0.33926412761211394,0.044004076555481615
context_only,Gaussian kernel regression (context only),500,527.0,0.33928901255130767,0.043966624411701245
context_only,Gaussian kernel regression (context only),500,528.0,0.3393141746520996,0.04392898725920038
context_only,Gaussian kernel regression (context only),500,529.0,0.3393396079540253,0.04389116409316105
context_only,Gaussian kernel regression (context only),500,530.0,0.33936532735824587,0.04385316778843709
context_only,Gaussian kernel regression (context only),500,531.0,0.3393913209438324,0.043814987076326826
context_only,Gaussian kernel regression (context only),500,532.0,0.3394176036119461,0.04377660544910963
context_only,Gaussian kernel regression (context only),500,533.0,0.3394441783428192,0.04373803545818892
context_only,Gaussian kernel regression (context only),500,534.0,0.3394710421562195,0.04369928606724162
context_only,Gaussian kernel regression (context only),500,535.0,0.3394982010126114,0.04366032807047216
context_only,Gaussian kernel regression (context only),500,536.0,0.3395256459712982,0.043621174134607456
context_only,Gaussian kernel regression (context only),500,537.0,0.33955339789390565,0.043581820729993594
context_only,Gaussian kernel regression (context only),500,538.0,0.33958145081996916,0.04354226699279518
context_only,Gaussian kernel regression (context only),500,539.0,0.33960981070995333,0.04350250317848185
context_only,Gaussian kernel regression (context only),500,540.0,0.3396384745836258,0.04346253687328807
context_only,Gaussian kernel regression (context only),500,541.0,0.33966744840145113,0.043422357219170024
context_only,Gaussian kernel regression (context only),500,542.0,0.3396967351436615,0.043381967130740676
context_only,Gaussian kernel regression (context only),500,543.0,0.3397263318300247,0.04334136248062904
context_only,Gaussian kernel regression (context only),500,544.0,0.3397562474012375,0.04330053744293195
context_only,Gaussian kernel regression (context only),500,545.0,0.3397864907979965,0.04325950478531431
context_only,Gaussian kernel regression (context only),500,546.0,0.3398170441389084,0.04321824707321929
context_only,Gaussian kernel regression (context only),500,547.0,0.3398479223251343,0.04317676901991239
context_only,Gaussian kernel regression (context only),500,548.0,0.3398791283369064,0.04313506372203481
context_only,Gaussian kernel regression (context only),500,549.0,0.3399106562137604,0.04309313285132702
context_only,Gaussian kernel regression (context only),500,550.0,0.3399425208568573,0.04305097641803215
context_only,Gaussian kernel regression (context only),500,551.0,0.3399747133255005,0.043008598637435426
context_only,Gaussian kernel regression (context only),500,552.0,0.34000723659992216,0.04296598606009773
context_only,Gaussian kernel regression (context only),500,553.0,0.3400400996208191,0.042923140233667174
context_only,Gaussian kernel regression (context only),500,554.0,0.3400732934474945,0.04288005701486842
context_only,Gaussian kernel regression (context only),500,555.0,0.3401068240404129,0.04283674395150608
context_only,Gaussian kernel regression (context only),500,556.0,0.34014069437980654,0.042793201202425066
context_only,Gaussian kernel regression (context only),500,557.0,0.34017491340637207,0.042749411286188053
context_only,Gaussian kernel regression (context only),500,558.0,0.34020946025848386,0.04270539367106835
context_only,Gaussian kernel regression (context only),500,559.0,0.34024435877799986,0.042661131492605225
context_only,Gaussian kernel regression (context only),500,560.0,0.3402795970439911,0.04261663310148403
context_only,Gaussian kernel regression (context only),500,561.0,0.340315181016922,0.042571896760850464
context_only,Gaussian kernel regression (context only),500,562.0,0.3403511196374893,0.04252691796662488
context_only,Gaussian kernel regression (context only),500,563.0,0.3403873980045319,0.04248170531190743
context_only,Gaussian kernel regression (context only),500,564.0,0.34042402505874636,0.042436248422965735
context_only,Gaussian kernel regression (context only),500,565.0,0.34046100080013275,0.04239054374198478
context_only,Gaussian kernel regression (context only),500,566.0,0.34049833118915557,0.042344607023196
context_only,Gaussian kernel regression (context only),500,567.0,0.34053601026535035,0.04229843535376578
context_only,Gaussian kernel regression (context only),500,568.0,0.34057403206825254,0.042252019339428015
context_only,Gaussian kernel regression (context only),500,569.0,0.3406124085187912,0.04220535924957441
context_only,Gaussian kernel regression (context only),500,570.0,0.3406511336565018,0.042158473310730415
context_only,Gaussian kernel regression (context only),500,571.0,0.3406902104616165,0.04211133638421452
context_only,Gaussian kernel regression (context only),500,572.0,0.34072963893413544,0.042063968107300884
context_only,Gaussian kernel regression (context only),500,573.0,0.34076941907405855,0.04201636500702417
context_only,Gaussian kernel regression (context only),500,574.0,0.3408095449209213,0.041968533130494715
context_only,Gaussian kernel regression (context only),500,575.0,0.3408500224351883,0.04192047328855655
context_only,Gaussian kernel regression (context only),500,576.0,0.3408908575773239,0.04187217249399871
context_only,Gaussian kernel regression (context only),500,577.0,0.34093203246593473,0.04182365319920189
context_only,Gaussian kernel regression (context only),500,578.0,0.34097355604171753,0.04177491349047881
context_only,Gaussian kernel regression (context only),500,579.0,0.34101543128490447,0.041725940241237505
context_only,Gaussian kernel regression (context only),500,580.0,0.34105764925479887,0.04167676000823319
context_only,Gaussian kernel regression (context only),500,581.0,0.341100212931633,0.04162736252181435
context_only,Gaussian kernel regression (context only),500,582.0,0.34114312529563906,0.041577747719492304
context_only,Gaussian kernel regression (context only),500,583.0,0.3411863803863525,0.04152793129000719
context_only,Gaussian kernel regression (context only),500,584.0,0.34122997522354126,0.04147790923023663
