method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
Attentive CNP + PE,m2,1,100,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9023985517556525,5.3860111467631
Attentive CNP + PE,m2,1,101,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.93626196667187,4.082395371325798
Attentive CNP + PE,m2,1,101,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.30338182318544,7.243776509952915
Attentive CNP + PE,m2,1,101,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.87280643853669,9.60034182185851
Attentive CNP + PE,m2,1,101,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9350603536916378,5.4186729486990854
Attentive CNP + PE,m2,1,102,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.91188789620144,4.1067694417962315
Attentive CNP + PE,m2,1,102,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.331171993996005,7.21598633914235
Attentive CNP + PE,m2,1,102,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.938128253531254,9.535020006863945
Attentive CNP + PE,m2,1,102,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.953836181320102,5.43744877632755
Attentive CNP + PE,m2,1,103,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.775899784062975,4.242757553934695
Attentive CNP + PE,m2,1,103,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.369558686671617,7.177599646466737
Attentive CNP + PE,m2,1,103,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.994782957627102,9.478365302768097
Attentive CNP + PE,m2,1,103,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9210212005790797,5.404633795586528
Attentive CNP + PE,m2,1,104,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.790655121823463,4.228002216174209
Attentive CNP + PE,m2,1,104,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.692728024920257,6.854430308218095
Attentive CNP + PE,m2,1,104,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-19.34758048743647,9.125567772958727
Attentive CNP + PE,m2,1,104,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9737292789495466,5.457341873956994
Attentive CNP + PE,m2,1,105,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.732531052264598,4.286126285733072
Attentive CNP + PE,m2,1,105,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.565306949364828,6.981851383773524
Attentive CNP + PE,m2,1,105,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-19.219632152688213,9.253516107706986
Attentive CNP + PE,m2,1,105,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.944646436438209,5.4282590314456565
Attentive CNP + PE,m2,1,106,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.904763106679944,4.113894231317728
Attentive CNP + PE,m2,1,106,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.51613678619659,7.031021546941762
Attentive CNP + PE,m2,1,106,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-19.127223918020892,9.345924342374307
Attentive CNP + PE,m2,1,106,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9605781254672,5.444190720474648
Attentive CNP + PE,m2,1,107,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.793488017304014,4.225169320693656
Attentive CNP + PE,m2,1,107,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.39202545356787,7.1551328795704805
Attentive CNP + PE,m2,1,107,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-19.034802487328424,9.438345773066773
Attentive CNP + PE,m2,1,107,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.009003112026673,5.492615707034121
Attentive CNP + PE,m2,1,108,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.733261160003,4.285396177994672
Attentive CNP + PE,m2,1,108,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.401290148568638,7.145868184569714
Attentive CNP + PE,m2,1,108,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-19.059077176971602,9.414071083423595
Attentive CNP + PE,m2,1,108,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9674206326488095,5.451033227656257
Attentive CNP + PE,m2,1,109,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.756816372562998,4.261840965434671
Attentive CNP + PE,m2,1,109,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-18.456657294324618,7.090501038813734
Attentive CNP + PE,m2,1,109,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-19.094794631696757,9.378353628698441
Attentive CNP + PE,m2,1,109,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9233712913679266,5.406983886375374
Attentive CNP + PE,m2,2,100,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.805904036245213,4.212753301752459
Attentive CNP + PE,m2,2,100,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.209840870992913,5.337317462145441
Attentive CNP + PE,m2,2,100,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.566449681098334,9.906698579296865
Attentive CNP + PE,m2,2,100,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9136258149199707,5.397238409927418
Attentive CNP + PE,m2,2,101,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.562331081625715,4.456326256371956
Attentive CNP + PE,m2,2,101,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.0144961338167,5.532662199321653
Attentive CNP + PE,m2,2,101,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.286558722049556,10.186589538345642
Attentive CNP + PE,m2,2,101,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.776818685277421,5.260431280284869
Attentive CNP + PE,m2,2,102,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.545520761217215,4.4731365767804565
Attentive CNP + PE,m2,2,102,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.05854568467561,5.488612648462743
Attentive CNP + PE,m2,2,102,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.386055025445856,10.087093234949343
Attentive CNP + PE,m2,2,102,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.8410167191029316,5.324629314110379
Attentive CNP + PE,m2,2,103,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.765421124653034,4.2532362133446355
Attentive CNP + PE,m2,2,103,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.114398497826162,5.43275983531219
Attentive CNP + PE,m2,2,103,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.41536752604589,10.057780734349306
Attentive CNP + PE,m2,2,103,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.8523450378001884,5.335957632807636
Attentive CNP + PE,m2,2,104,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.75821874995612,4.2604385880415485
Attentive CNP + PE,m2,2,104,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.418537493847953,5.128620839290399
Attentive CNP + PE,m2,2,104,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.873188485411433,9.599959774983766
Attentive CNP + PE,m2,2,104,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.1027963509391796,5.586408945946627
Attentive CNP + PE,m2,2,105,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.761764000360902,4.256893337636769
Attentive CNP + PE,m2,2,105,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.30770867422891,5.239449658909445
Attentive CNP + PE,m2,2,105,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.780139832604913,9.693008427790284
Attentive CNP + PE,m2,2,105,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.07047806762383,5.554090662631278
Attentive CNP + PE,m2,2,106,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.668389356052515,4.350267981945155
Attentive CNP + PE,m2,2,106,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.247933485781783,5.29922484735657
Attentive CNP + PE,m2,2,106,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.5844147879621,9.888733472433097
Attentive CNP + PE,m2,2,106,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.9748070561392086,5.458419651146657
Attentive CNP + PE,m2,2,107,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.59673205667922,4.421925281318451
Attentive CNP + PE,m2,2,107,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.05548353988192,5.4916747932564345
Attentive CNP + PE,m2,2,107,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-18.36566268127265,10.10748557912255
Attentive CNP + PE,m2,2,107,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.7972882515111044,5.280900846518552
Attentive CNP + PE,m2,2,108,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,16.548469530462118,4.470187807535552
