subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,scope,histogram_bin,pull_lower,pull_upper,count,total_cell_bin_observations,cell_count
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,4,-8.0,-7.5,3,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,5,-7.5,-7.0,14,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,6,-7.0,-6.5,18,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,7,-6.5,-6.0,42,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,8,-6.0,-5.5,40,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,9,-5.5,-5.0,16,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,10,-5.0,-4.5,40,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,11,-4.5,-4.0,58,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,12,-4.0,-3.5,103,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,13,-3.5,-3.0,184,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,14,-3.0,-2.5,319,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,15,-2.5,-2.0,516,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,16,-2.0,-1.5,781,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,17,-1.5,-1.0,1382,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,18,-1.0,-0.5,1417,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,19,-0.5,0.0,1203,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,20,0.0,0.5,1477,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,21,0.5,1.0,1484,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,22,1.0,1.5,1235,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,23,1.5,2.0,1005,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,24,2.0,2.5,656,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,25,2.5,3.0,467,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,26,3.0,3.5,284,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,27,3.5,4.0,125,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,28,4.0,4.5,34,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,29,4.5,5.0,20,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,30,5.0,5.5,0,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,31,5.5,6.0,3,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,32,6.0,6.5,7,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,33,6.5,7.0,0,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,34,7.0,7.5,0,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,35,7.5,8.0,0,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,36,8.0,8.5,0,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,37,8.5,9.0,0,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,38,9.0,9.5,0,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,39,9.5,10.0,0,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,full_500_3000,overflow,10.0,,30,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,underflow,,-10.0,70,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,0,-10.0,-9.5,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,1,-9.5,-9.0,0,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,2,-9.0,-8.5,26,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,3,-8.5,-8.0,21,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,4,-8.0,-7.5,3,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,5,-7.5,-7.0,4,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,6,-7.0,-6.5,18,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,7,-6.5,-6.0,14,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,8,-6.0,-5.5,28,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,9,-5.5,-5.0,16,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,10,-5.0,-4.5,40,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,11,-4.5,-4.0,47,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,12,-4.0,-3.5,54,7260,30
original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,figure1_1500_3000,13,-3.5,-3.0,148,7260,30
