row_type,five_k_subset_id,ten_k_subset_id,ten_k_comparator,training_seed,context_seed,region,threshold_k,five_k_ours_coverage_percent,ten_k_comparator_coverage_percent,difference_percentage_points,comparison,five_k_run_id,ten_k_run_id,five_k_source_sha256,ten_k_source_sha256,paired_cell_count,mean_difference_percentage_points,difference_sd_percentage_points,win_count,tie_count,loss_count,pairing_note
paired_cell,original_n5000,original_n10000,CNP,0,101,continuum_equal_window,3,99.16666666666666,92.5,6.666666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s101-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s101-n500-drop10100-mc50,e39bd0c7d379d87b0cf9d52f49198edf817956c45407d1940cae0a5f916f7fb2,9c86ed523405f99e19dd6677342359f425d35875c596d6035a7f2975a41a2202,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,102,peak_equal_feature,1,0.0,12.5,-12.5,loss,20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,1388835443df3be922100e46d0c4881909a33c3cdfa1ce34756dd1e402430582,9356d875971b4e7aa1785670c03ea6898728756abd460431422fe2de2a3900b7,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,102,peak_equal_feature,2,37.5,25.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,1388835443df3be922100e46d0c4881909a33c3cdfa1ce34756dd1e402430582,9356d875971b4e7aa1785670c03ea6898728756abd460431422fe2de2a3900b7,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,102,peak_equal_feature,3,50.0,37.5,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,1388835443df3be922100e46d0c4881909a33c3cdfa1ce34756dd1e402430582,9356d875971b4e7aa1785670c03ea6898728756abd460431422fe2de2a3900b7,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,102,continuum_equal_window,1,55.83333333333333,41.25,14.583333333333329,win,20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,1388835443df3be922100e46d0c4881909a33c3cdfa1ce34756dd1e402430582,9356d875971b4e7aa1785670c03ea6898728756abd460431422fe2de2a3900b7,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,102,continuum_equal_window,2,90.41666666666666,74.16666666666666,16.25,win,20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,1388835443df3be922100e46d0c4881909a33c3cdfa1ce34756dd1e402430582,9356d875971b4e7aa1785670c03ea6898728756abd460431422fe2de2a3900b7,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,102,continuum_equal_window,3,99.16666666666666,92.5,6.666666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s102-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s102-n500-drop10100-mc50,1388835443df3be922100e46d0c4881909a33c3cdfa1ce34756dd1e402430582,9356d875971b4e7aa1785670c03ea6898728756abd460431422fe2de2a3900b7,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,103,peak_equal_feature,1,0.0,25.0,-25.0,loss,20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,11b849b1647cec5527fb81c9cf03e40945c5157b7ac166c90e639c8be09c111a,df9b769374175db9eb42ae23314e347880a20412e04b91d8afeb90671eb0b591,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,103,peak_equal_feature,2,37.5,25.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,11b849b1647cec5527fb81c9cf03e40945c5157b7ac166c90e639c8be09c111a,df9b769374175db9eb42ae23314e347880a20412e04b91d8afeb90671eb0b591,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,103,peak_equal_feature,3,62.5,25.0,37.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,11b849b1647cec5527fb81c9cf03e40945c5157b7ac166c90e639c8be09c111a,df9b769374175db9eb42ae23314e347880a20412e04b91d8afeb90671eb0b591,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,103,continuum_equal_window,1,55.83333333333333,42.91666666666667,12.916666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,11b849b1647cec5527fb81c9cf03e40945c5157b7ac166c90e639c8be09c111a,df9b769374175db9eb42ae23314e347880a20412e04b91d8afeb90671eb0b591,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,103,continuum_equal_window,2,90.41666666666666,80.83333333333334,9.583333333333314,win,20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,11b849b1647cec5527fb81c9cf03e40945c5157b7ac166c90e639c8be09c111a,df9b769374175db9eb42ae23314e347880a20412e04b91d8afeb90671eb0b591,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,103,continuum_equal_window,3,99.16666666666666,95.0,4.166666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s103-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,11b849b1647cec5527fb81c9cf03e40945c5157b7ac166c90e639c8be09c111a,df9b769374175db9eb42ae23314e347880a20412e04b91d8afeb90671eb0b591,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,104,peak_equal_feature,1,12.5,0.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,a28e8f93a428e5ac6379973a6fa87317dd882cffc7194521a106617cb6a4fbb0,19362637cbe3c446d1270180d1af0d9385180362dbae6d2122ee25efde8f44b0,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,104,peak_equal_feature,2,37.5,37.5,0.0,tie,20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,a28e8f93a428e5ac6379973a6fa87317dd882cffc7194521a106617cb6a4fbb0,19362637cbe3c446d1270180d1af0d9385180362dbae6d2122ee25efde8f44b0,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,104,peak_equal_feature,3,50.0,37.5,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,a28e8f93a428e5ac6379973a6fa87317dd882cffc7194521a106617cb6a4fbb0,19362637cbe3c446d1270180d1af0d9385180362dbae6d2122ee25efde8f44b0,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,104,continuum_equal_window,1,56.66666666666667,43.75,12.916666666666671,win,20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,a28e8f93a428e5ac6379973a6fa87317dd882cffc7194521a106617cb6a4fbb0,19362637cbe3c446d1270180d1af0d9385180362dbae6d2122ee25efde8f44b0,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,104,continuum_equal_window,2,89.58333333333334,80.83333333333334,8.75,win,20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,a28e8f93a428e5ac6379973a6fa87317dd882cffc7194521a106617cb6a4fbb0,19362637cbe3c446d1270180d1af0d9385180362dbae6d2122ee25efde8f44b0,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,104,continuum_equal_window,3,99.16666666666666,92.5,6.666666666666657,win,20260909-phase2-b5000-ours-seed0-final-ctx-s104-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,a28e8f93a428e5ac6379973a6fa87317dd882cffc7194521a106617cb6a4fbb0,19362637cbe3c446d1270180d1af0d9385180362dbae6d2122ee25efde8f44b0,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,105,peak_equal_feature,1,0.0,0.0,0.0,tie,20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,097e59aedc00d4034fd63578325302aa22dd18ccc6f2626dc474e5b7d7d6d632,e9d60fe90b62cbcddca05fa1951a722661fbe3e88a5eb51c184a3e5b520812d3,,,,,,,
paired_cell,original_n5000,original_n10000,CNP,0,105,peak_equal_feature,2,37.5,25.0,12.5,win,20260909-phase2-b5000-ours-seed0-final-ctx-s105-n500-drop10100-mc50,20260909-phase3-original_n10000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,097e59aedc00d4034fd63578325302aa22dd18ccc6f2626dc474e5b7d7d6d632,e9d60fe90b62cbcddca05fa1951a722661fbe3e88a5eb51c184a3e5b520812d3,,,,,,,
