summary_level,subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,region,cell_count,initialization_seed_count,context_seed_count_per_initialization,aggregation,source_event_prediction_hash_set_sha256,source_curve_hash_set_sha256,C1_percent_mean,C1_percent_mean_context_sd_within_seed,C1_percent_initialization_sd_across_seed_means,C1_percent_training_subset_sd_across_subset_means,C1_percent_training_subset_min,C1_percent_training_subset_max,C1_percent_training_subset_range,C2_percent_mean,C2_percent_mean_context_sd_within_seed,C2_percent_initialization_sd_across_seed_means,C2_percent_training_subset_sd_across_subset_means,C2_percent_training_subset_min,C2_percent_training_subset_max,C2_percent_training_subset_range,C3_percent_mean,C3_percent_mean_context_sd_within_seed,C3_percent_initialization_sd_across_seed_means,C3_percent_training_subset_sd_across_subset_means,C3_percent_training_subset_min,C3_percent_training_subset_max,C3_percent_training_subset_range,training_subset_count
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,FE_2614_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,ca846309a6edaaaf2e62e75408624dc07b63be21ad07fdee10fbed4d44f104cb,58f9df7f7c667106de74607d1757c30c8adf83407bfd1fdc2994b0c8b9a6033d,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,33.333333333333336,0.0,28.86751345948129,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,SE_2103_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,ca846309a6edaaaf2e62e75408624dc07b63be21ad07fdee10fbed4d44f104cb,58f9df7f7c667106de74607d1757c30c8adf83407bfd1fdc2994b0c8b9a6033d,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,DEP_1592_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,ca846309a6edaaaf2e62e75408624dc07b63be21ad07fdee10fbed4d44f104cb,58f9df7f7c667106de74607d1757c30c8adf83407bfd1fdc2994b0c8b9a6033d,50.0,0.0,0.0,,,,,50.0,0.0,0.0,,,,,50.0,0.0,0.0,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,feature_1620_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,ca846309a6edaaaf2e62e75408624dc07b63be21ad07fdee10fbed4d44f104cb,58f9df7f7c667106de74607d1757c30c8adf83407bfd1fdc2994b0c8b9a6033d,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,continuum_1700_2000,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,ca846309a6edaaaf2e62e75408624dc07b63be21ad07fdee10fbed4d44f104cb,58f9df7f7c667106de74607d1757c30c8adf83407bfd1fdc2994b0c8b9a6033d,47.44444444444445,2.7233089185062895,4.299009360478473,,,,,83.00000000000001,1.3517580827080058,1.8929694486000912,,,,,98.55555555555556,0.5837178354095582,0.2545875386086588,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP,m1,matched_neural,continuum_2200_2400,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,ca846309a6edaaaf2e62e75408624dc07b63be21ad07fdee10fbed4d44f104cb,58f9df7f7c667106de74607d1757c30c8adf83407bfd1fdc2994b0c8b9a6033d,43.333333333333336,1.7499571713738185,17.493451155599153,,,,,73.08333333333333,1.1817804103434804,14.200205397575534,,,,,90.66666666666667,1.4593250596181886,9.75106831754005,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,overall_500_3000,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,98962a7f980281d26f421f8f4aae814dad4088b2752dc73981060656adf6c5ef,427c27f4b03595b3ce9f4ae9794f4b690e852b640ee5a5dcd0ce93fb4b581c77,14.660633484162895,0.7576086466217503,0.8875586084132603,,,,,27.57918552036199,0.8373432609331871,0.11971725389432762,,,,,39.62292609351433,1.2017319695055784,0.7884001330741623,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,figure1_1500_3000,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,98962a7f980281d26f421f8f4aae814dad4088b2752dc73981060656adf6c5ef,427c27f4b03595b3ce9f4ae9794f4b690e852b640ee5a5dcd0ce93fb4b581c77,16.735537190082646,1.5778706107340283,0.39418975265163025,,,,,30.826446280991735,0.8412459226707193,0.8677685950413245,,,,,42.93388429752067,1.2979765871235893,0.9137745614667743,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,FE_2614_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,98962a7f980281d26f421f8f4aae814dad4088b2752dc73981060656adf6c5ef,427c27f4b03595b3ce9f4ae9794f4b690e852b640ee5a5dcd0ce93fb4b581c77,6.666666666666667,8.606629658238704,11.547005383792515,,,,,15.0,12.297746456210364,21.79449471770337,,,,,18.333333333333332,12.297746456210364,23.629078131263043,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,SE_2103_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,98962a7f980281d26f421f8f4aae814dad4088b2752dc73981060656adf6c5ef,427c27f4b03595b3ce9f4ae9794f4b690e852b640ee5a5dcd0ce93fb4b581c77,23.333333333333332,14.05456737852613,23.094010767585033,,,,,48.333333333333336,5.270462766947299,2.8867513459481287,,,,,50.0,0.0,0.0,,,,,
training_subset,original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,DEP_1592_pm5,30,3,10,contexts averaged within initialization seed; initialization seeds equally averaged,98962a7f980281d26f421f8f4aae814dad4088b2752dc73981060656adf6c5ef,427c27f4b03595b3ce9f4ae9794f4b690e852b640ee5a5dcd0ce93fb4b581c77,3.3333333333333335,7.027283689263065,5.773502691896257,,,,,10.0,8.606629658238704,17.320508075688775,,,,,16.666666666666668,0.0,28.867513459481287,,,,,
