model_id,method,passes,region,independent_stream_rmse_percentage_points,independent_stream_max_abs_percentage_points,relative_normalized_curvature_difference
m2_seed0,Attentive CNP + PE,50,continuum_1700_2000,1.3672668540610136,6.422016799449926,0.016732182715628867
m2_seed0,Attentive CNP + PE,50,continuum_2200_2400,1.2057674763665218,3.77239710092544,0.03629692437265611
m2_seed0,Attentive CNP + PE,200,continuum_1700_2000,0.6919383084338248,2.3370373472571373,0.01057704324532743
m2_seed0,Attentive CNP + PE,200,continuum_2200_2400,0.5805457624008507,1.6943014115095134,0.003487793599871884
m2_seed0,Attentive CNP + PE,800,continuum_1700_2000,0.337148586614901,1.589166844263673,0.0032175296143605665
m2_seed0,Attentive CNP + PE,800,continuum_2200_2400,0.28387340977728104,1.0040600318461657,0.013168867780330034
ours_seed0,Density-guided CNP (ours),50,continuum_1700_2000,0.37105977882029606,1.2431232929229652,0.062269418213461956
ours_seed0,Density-guided CNP (ours),50,continuum_2200_2400,0.4068420357181797,1.223303258419034,0.13757551278304106
ours_seed0,Density-guided CNP (ours),200,continuum_1700_2000,0.19650623343802964,0.6831692308187476,0.03682258811997917
ours_seed0,Density-guided CNP (ours),200,continuum_2200_2400,0.19712708266989756,0.5771900266408947,0.0005405047770002286
