method,architecture_id,context_size,parameter_count,peak_mae_percentage_points_mean,peak_mae_percentage_points_seed_sd,continuum_mae_percentage_points_mean,continuum_mae_percentage_points_seed_sd,global_brier_mean,global_brier_seed_sd
CNP,m0,500,116482,7.993373282596418,0.34858852760049286,4.585335300822202,0.022054854431297836,0.23312316145635728,0.0018837501489878173
Attentive CNP,m1,500,149250,8.245080586830714,0.32120731487428617,5.533277345664222,0.6987334735613197,0.23233775895968892,0.0014005177037734865
Attentive CNP + PE,m2,500,151682,5.996050425376527,1.0779570013491184,7.379996005228072,0.8645093062068547,0.2292065755313943,0.0007934368746716149
Density-guided CNP (ours),ours,500,130693,3.5565860653454764,0.33220474658131,4.072397312596024,0.10909678675255599,0.22367321218326183,0.000210873283847778
CNP,m0,2000,116482,7.992557151983725,0.35847174286954553,4.591841123566654,0.014445785803717914,0.23307697074417655,0.001846724776733741
Attentive CNP,m1,2000,149250,8.2572600553764,0.30981542831859665,5.529759071294329,0.6902306458673091,0.23235095182060486,0.0014162350347565428
Attentive CNP + PE,m2,2000,151682,6.057277250041969,1.0694126252374498,7.383292987841387,0.9305923006236939,0.229213760538345,0.000854962633488721
Density-guided CNP (ours),ours,2000,130693,3.4800114833702267,0.31915748423366846,4.081856547157202,0.10919695431590487,0.22364597352673887,0.00021555359583413418
