variant,method,context_size,context_seed,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
context_only,Gaussian kernel regression (context only),250,106,FE,5,1,8709,5.454019206179319,6.032994317318218
context_only,Gaussian kernel regression (context only),250,106,sparse_tail,13,47,68,15.262578501081133,16.155247474710176
context_only,Gaussian kernel regression (context only),250,107,full,442,58,114299,10.633160782529252,12.878380283684521
context_only,Gaussian kernel regression (context only),250,107,DEP,6,0,1323,9.56762647401826,10.760849838242441
context_only,Gaussian kernel regression (context only),250,107,Bi-214,6,0,1361,11.684020122770981,16.466579404692812
context_only,Gaussian kernel regression (context only),250,107,continuum_1700_2000,60,0,8230,15.785261407556877,17.19696710526759
context_only,Gaussian kernel regression (context only),250,107,SE,6,0,2023,10.027060550156863,14.239952545705215
context_only,Gaussian kernel regression (context only),250,107,continuum_2200_2400,40,0,9093,12.917279431654084,13.625412706576343
context_only,Gaussian kernel regression (context only),250,107,FE,5,1,8709,7.136571320138849,7.596057294544386
context_only,Gaussian kernel regression (context only),250,107,sparse_tail,13,47,68,27.727444632083888,28.42308432120394
context_only,Gaussian kernel regression (context only),250,108,full,442,58,114299,8.47997333693214,10.61311959774769
context_only,Gaussian kernel regression (context only),250,108,DEP,6,0,1323,7.581859485866538,11.531344724244812
context_only,Gaussian kernel regression (context only),250,108,Bi-214,6,0,1361,9.386246196393772,12.389543316907163
context_only,Gaussian kernel regression (context only),250,108,continuum_1700_2000,60,0,8230,13.935903172566858,15.445333055220845
context_only,Gaussian kernel regression (context only),250,108,SE,6,0,2023,12.776258301693716,16.861924222181454
context_only,Gaussian kernel regression (context only),250,108,continuum_2200_2400,40,0,9093,10.745140261135207,11.824516915099776
context_only,Gaussian kernel regression (context only),250,108,FE,5,1,8709,2.255827868276894,2.6349219925648786
context_only,Gaussian kernel regression (context only),250,108,sparse_tail,13,47,68,14.257250696226878,15.721804337586418
context_only,Gaussian kernel regression (context only),250,109,full,442,58,114299,9.754677084544387,12.082705610740652
context_only,Gaussian kernel regression (context only),250,109,DEP,6,0,1323,7.976902705449479,11.856935788022929
context_only,Gaussian kernel regression (context only),250,109,Bi-214,6,0,1361,9.884544912055805,12.074807364166706
context_only,Gaussian kernel regression (context only),250,109,continuum_1700_2000,60,0,8230,8.115303033244087,9.404893213605977
context_only,Gaussian kernel regression (context only),250,109,SE,6,0,2023,8.58295742618152,12.635295917263752
context_only,Gaussian kernel regression (context only),250,109,continuum_2200_2400,40,0,9093,4.105442737851199,4.888533678692491
context_only,Gaussian kernel regression (context only),250,109,FE,5,1,8709,7.621447395204328,8.044080786843073
context_only,Gaussian kernel regression (context only),250,109,sparse_tail,13,47,68,13.521547563606182,14.264091081279446
context_only,Gaussian kernel regression (context only),500,100,full,442,58,114299,9.327607354830015,11.428073539155417
context_only,Gaussian kernel regression (context only),500,100,DEP,6,0,1323,9.92298443456201,13.752182398106022
context_only,Gaussian kernel regression (context only),500,100,Bi-214,6,0,1361,10.70802294976801,11.854864348449578
context_only,Gaussian kernel regression (context only),500,100,continuum_1700_2000,60,0,8230,8.736921637598764,9.942607006225296
context_only,Gaussian kernel regression (context only),500,100,SE,6,0,2023,13.731263557154314,17.566389038893675
context_only,Gaussian kernel regression (context only),500,100,continuum_2200_2400,40,0,9093,3.6889914698276014,4.79318622234147
context_only,Gaussian kernel regression (context only),500,100,FE,5,1,8709,2.171589134419634,2.517796806044609
context_only,Gaussian kernel regression (context only),500,100,sparse_tail,13,47,68,17.00955432441707,18.120390380966445
context_only,Gaussian kernel regression (context only),500,101,full,442,58,114299,9.413664105867204,10.900587925761222
context_only,Gaussian kernel regression (context only),500,101,DEP,6,0,1323,9.786742384679238,10.743439604310469
context_only,Gaussian kernel regression (context only),500,101,Bi-214,6,0,1361,13.456028238189996,17.92183201907848
context_only,Gaussian kernel regression (context only),500,101,continuum_1700_2000,60,0,8230,8.233254330890533,9.383222359116221
context_only,Gaussian kernel regression (context only),500,101,SE,6,0,2023,9.390061116606534,10.994590219476274
context_only,Gaussian kernel regression (context only),500,101,continuum_2200_2400,40,0,9093,8.954719638977181,9.727782257062888
context_only,Gaussian kernel regression (context only),500,101,FE,5,1,8709,12.78810274309258,13.041642842714927
context_only,Gaussian kernel regression (context only),500,101,sparse_tail,13,47,68,7.792903883280503,8.638267042485626
context_only,Gaussian kernel regression (context only),500,102,full,442,58,114299,6.72054937108209,8.3913976729188
context_only,Gaussian kernel regression (context only),500,102,DEP,6,0,1323,8.242986092687934,9.910410582846914
context_only,Gaussian kernel regression (context only),500,102,Bi-214,6,0,1361,11.314594253814704,16.161808332256726
context_only,Gaussian kernel regression (context only),500,102,continuum_1700_2000,60,0,8230,6.470077189293461,7.918158516443739
