architecture,training_seed,provenance,steps,final_loss,wall_seconds,checkpoint_sha256
M2 attentive PE10,0,paper controlled run,3000,0.4155219495296478,84.93971165642142,2295bdc7e8015ec6387e13f8777c6c293ebe916a7cbb986ef9f21aaaf2d2dba8
M2 attentive PE10,1,paper controlled run,3000,0.4066755473613739,84.85910094669089,aca3210385185209a11b88b05290468a1c1667aa67306fadcbaf4bcaa67cb0a7
M2 attentive PE10,2,paper controlled run,3000,0.46106085181236267,87.93325426010415,d39ed762fbe0ca6c4837236482ae00c62fe8d0e185f1992a1748c19266af5c4d
Cell 17,0,recovered historical checkpoint,3000,0.43488287925720215,,e21af9988a220aa4b203e54d63f59f37778a41570cd283591f27b7a29af38867
Cell 17,1,paper controlled run,3000,0.4213481843471527,126.10032247425988,82a254cb35ba13176f289987d958288a319d45cb458069ed53c194c9eee5bfb4
Cell 17,2,paper controlled run,3000,0.4841706156730652,125.54846939072013,f6ea2ad7f709510897d39fbaa0ae0ee5c90c36545af274df286131604447d38a
