window,window_weighting,supported_bin_count,target_events_in_supported_bins,continuum_RMSE_pp,continuum_bias_pp,continuum_centered_RMS_pp,continuum_pull_RMS,continuum_pull_mean,continuum_pull_centered_RMS,subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,training_seed,context_seed,context_size,run_id,source_event_predictions_sha256,source_curve_sha256,headline_original_5k
continuum_2200_2400,equal bins within this window,40,9093,5.9322600139476505,-4.515326346146437,3.8475364664780036,1.8615317201270316,-1.3996040763547977,1.2273584539530975,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.498233855437657,-2.7187282890411217,4.4284678434706715,1.5665942584205106,-0.8108418357982032,1.2042060089246722,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,103,500,20260909-phase2-b2000-m0-seed0-final-ctx-s103-n500-drop10100-mc50,e8d8fbb96d2421eb87cffc94d45309b2693c8b0d280e9604de964c5660ad6b4f,aba1a9173f5452595919085aa9f8d1c30c1c6f2bd4127a44bd0eac3987135f5f,False
continuum_1700_2000,equal bins within this window,60,8230,5.200079860187028,-1.6132500144462123,4.943506340970146,1.2429816810953587,-0.385473120278152,1.1816995951093785,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,104,500,20260909-phase2-b2000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,d833c0c52dd1cb0c5003250ea9b73718509750112f9bc46374a7dc17c279002f,df630f9d767fca02debdbd416f9bb6afc16ae4c9f38662474df5913683ab0b24,False
continuum_2200_2400,equal bins within this window,40,9093,6.621172148197996,-5.390594056970997,3.8446607560384085,2.074757979990758,-1.6654844349303723,1.2372478622086962,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,104,500,20260909-phase2-b2000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,d833c0c52dd1cb0c5003250ea9b73718509750112f9bc46374a7dc17c279002f,df630f9d767fca02debdbd416f9bb6afc16ae4c9f38662474df5913683ab0b24,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.953181971366052,-3.5019220357086045,4.428299406783256,1.7102081942082337,-1.0254787776042622,1.209792586690309,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,104,500,20260909-phase2-b2000-m0-seed0-final-ctx-s104-n500-drop10100-mc50,d833c0c52dd1cb0c5003250ea9b73718509750112f9bc46374a7dc17c279002f,df630f9d767fca02debdbd416f9bb6afc16ae4c9f38662474df5913683ab0b24,False
continuum_1700_2000,equal bins within this window,60,8230,5.2330253575055945,-1.7161354190719533,4.943625553751343,1.2508563905725796,-0.4097935226793125,1.1818252741443387,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,105,500,20260909-phase2-b2000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,dc4a3b0a1d009c2529a673753f0a514b72bf9df423924953800eeae1dce95445,b28a2372be3e58526215e8856ab8ec1cc7ca530616ac201396a48ac1bf8b8d0f,False
continuum_2200_2400,equal bins within this window,40,9093,6.687642790725445,-5.470504175427939,3.846836383701223,2.094392515400624,-1.6894425041543815,1.2378465307632949,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,105,500,20260909-phase2-b2000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,dc4a3b0a1d009c2529a673753f0a514b72bf9df423924953800eeae1dce95445,b28a2372be3e58526215e8856ab8ec1cc7ca530616ac201396a48ac1bf8b8d0f,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,6.004544965633889,-3.593319797249946,4.429310543339153,1.7249814083639299,-1.049618013416847,1.2101601159204234,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,105,500,20260909-phase2-b2000-m0-seed0-final-ctx-s105-n500-drop10100-mc50,dc4a3b0a1d009c2529a673753f0a514b72bf9df423924953800eeae1dce95445,b28a2372be3e58526215e8856ab8ec1cc7ca530616ac201396a48ac1bf8b8d0f,False
continuum_1700_2000,equal bins within this window,60,8230,5.320576827600827,-1.9645156802729848,4.944614840446569,1.2717604375044818,-0.4685218613158452,1.1823120890317949,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,106,500,20260909-phase2-b2000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,206d6448b8acfe8f96ec933be289467e015ad1c871572c6867788f782b2b49ec,5ff893a90ad8a59583e1ef545270d0756a539ce3340b39de87b69f6d976f8ead,False
continuum_2200_2400,equal bins within this window,40,9093,7.001420172415239,-5.852473027028968,3.8429733148437824,2.192242680548655,-1.8058737868315209,1.2428788502721955,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,106,500,20260909-phase2-b2000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,206d6448b8acfe8f96ec933be289467e015ad1c871572c6867788f782b2b49ec,5ff893a90ad8a59583e1ef545270d0756a539ce3340b39de87b69f6d976f8ead,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,6.218055251005169,-3.908494353650976,4.428185848570826,1.7921080576824524,-1.137197824073683,1.2129735595479114,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,106,500,20260909-phase2-b2000-m0-seed0-final-ctx-s106-n500-drop10100-mc50,206d6448b8acfe8f96ec933be289467e015ad1c871572c6867788f782b2b49ec,5ff893a90ad8a59583e1ef545270d0756a539ce3340b39de87b69f6d976f8ead,False
continuum_1700_2000,equal bins within this window,60,8230,5.109166841759021,-1.2939822925059492,4.942589973243876,1.2211782940901665,-0.30999023412424337,1.1811784288178335,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,107,500,20260909-phase2-b2000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,22f34d08b881358c48683066e478ec1dbbf906dfaf235c973ddbad48f369db93,2f485d06ab3d0ab575ba1c1beba38bc879c393ebf6f49893167e15199ba9d8cb,False
continuum_2200_2400,equal bins within this window,40,9093,6.279575571747152,-4.963257192673463,3.8469659994154757,1.9687920621116834,-1.5355326459304575,1.2321857315826144,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,107,500,20260909-phase2-b2000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,22f34d08b881358c48683066e478ec1dbbf906dfaf235c973ddbad48f369db93,2f485d06ab3d0ab575ba1c1beba38bc879c393ebf6f49893167e15199ba9d8cb,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.724362636058858,-3.128619742589706,4.428788945313922,1.638203071934451,-0.9227614400273504,1.2069515644424902,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,107,500,20260909-phase2-b2000-m0-seed0-final-ctx-s107-n500-drop10100-mc50,22f34d08b881358c48683066e478ec1dbbf906dfaf235c973ddbad48f369db93,2f485d06ab3d0ab575ba1c1beba38bc879c393ebf6f49893167e15199ba9d8cb,False
continuum_1700_2000,equal bins within this window,60,8230,5.017671934874618,-0.870904552207263,4.941513625092322,1.1990683454314548,-0.20996951784696713,1.1805412735651553,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,108,500,20260909-phase2-b2000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e0ad1e0b55b9dbdfcce06205ed9603bc6ba1c9b5ad4ded8c9bc259810fbab8d,4ef212bf57f6358219f0baeba12bbd05be367b1a3411bf637ce3b6fde1b22711,False
continuum_2200_2400,equal bins within this window,40,9093,5.8853855075112405,-4.453440669900588,3.8476783612587404,1.8469841565988612,-1.3808088423806941,1.2266692364001364,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,108,500,20260909-phase2-b2000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e0ad1e0b55b9dbdfcce06205ed9603bc6ba1c9b5ad4ded8c9bc259810fbab8d,4ef212bf57f6358219f0baeba12bbd05be367b1a3411bf637ce3b6fde1b22711,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.468765592802993,-2.6621726110539257,4.428497808437519,1.5570991252555073,-0.7953891801138306,1.2038262154732575,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,108,500,20260909-phase2-b2000-m0-seed0-final-ctx-s108-n500-drop10100-mc50,0e0ad1e0b55b9dbdfcce06205ed9603bc6ba1c9b5ad4ded8c9bc259810fbab8d,4ef212bf57f6358219f0baeba12bbd05be367b1a3411bf637ce3b6fde1b22711,False
continuum_1700_2000,equal bins within this window,60,8230,5.507507579097663,-2.422979976177241,4.945887965660194,1.3162508226543532,-0.5769099560002318,1.1830854283635108,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,109,500,20260909-phase2-b2000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,ba113a144f33678576b16d4cfb64ba5cafdb705db2900bd8b02fa998bf1d0900,a7899c4d8bfe7ccc6aafc8137c2de1d42563155cbc1fc81378e0f056b98cafa3,False
continuum_2200_2400,equal bins within this window,40,9093,7.47150059979832,-6.407503715356648,3.842813728308647,2.3364665323630236,-1.9743149346154567,1.2494624427356171,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,109,500,20260909-phase2-b2000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,ba113a144f33678576b16d4cfb64ba5cafdb705db2900bd8b02fa998bf1d0900,a7899c4d8bfe7ccc6aafc8137c2de1d42563155cbc1fc81378e0f056b98cafa3,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,6.563381786343259,-4.4152418457669445,4.428827447493283,1.8962584324124643,-1.2756124453078441,1.2167266592404653,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,0,109,500,20260909-phase2-b2000-m0-seed0-final-ctx-s109-n500-drop10100-mc50,ba113a144f33678576b16d4cfb64ba5cafdb705db2900bd8b02fa998bf1d0900,a7899c4d8bfe7ccc6aafc8137c2de1d42563155cbc1fc81378e0f056b98cafa3,False
continuum_1700_2000,equal bins within this window,60,8230,6.1031663673617755,3.5820359136745075,4.941422712219829,1.449828672297212,0.8443549989176239,1.178587211375516,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,100,500,20260909-phase2-b2000-m0-seed1-final-ctx-s100-n500-drop10100-mc50,3ea46bc328dde97afe0845bb9dfab2c685752411ea1672a5f0fa60b27c227a21,521bbf02ec5c0cfbe4c23e58fbefa6fec0f005e5ce69e85683e914e327338bb7,False
continuum_2200_2400,equal bins within this window,40,9093,3.8905226345266666,-0.2176204851646922,3.8844314505730435,1.2229204851399413,-0.10811117368464895,1.2181323766731746,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,100,500,20260909-phase2-b2000-m0-seed1-final-ctx-s100-n500-drop10100-mc50,3ea46bc328dde97afe0845bb9dfab2c685752411ea1672a5f0fa60b27c227a21,521bbf02ec5c0cfbe4c23e58fbefa6fec0f005e5ce69e85683e914e327338bb7,False
equal_window_mean,equal mean of the two window-specific mean-square quantities before square root; signed bias/pull mean are equal means of window means,100,17323,5.1178514084262074,1.682207714254908,4.444460941162774,1.3411818840093996,0.36812191261648747,1.1985229038106349,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,100,500,20260909-phase2-b2000-m0-seed1-final-ctx-s100-n500-drop10100-mc50,3ea46bc328dde97afe0845bb9dfab2c685752411ea1672a5f0fa60b27c227a21,521bbf02ec5c0cfbe4c23e58fbefa6fec0f005e5ce69e85683e914e327338bb7,False
continuum_1700_2000,equal bins within this window,60,8230,6.127366991170595,3.623205969697607,4.941356569367829,1.4555012577388837,0.8540871065136104,1.1785665555099896,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,101,500,20260909-phase2-b2000-m0-seed1-final-ctx-s101-n500-drop10100-mc50,25694e091ffaae4742776e1678f85126d0017cba81242fd9a8689aa5e71280fa,ffafa69e19ab0a1fb5a88104bf21d60c7cd0b001e8a87869e241531ae3963a56,False
continuum_2200_2400,equal bins within this window,40,9093,3.873076586025506,-0.03739567917684011,3.8728960487467123,1.2119829457137934,-0.052438591354536934,1.2108479899796818,original_n2000,original,2k,2000,1895,CNP,m0,matched_neural,1,101,500,20260909-phase2-b2000-m0-seed1-final-ctx-s101-n500-drop10100-mc50,25694e091ffaae4742776e1678f85126d0017cba81242fd9a8689aa5e71280fa,ffafa69e19ab0a1fb5a88104bf21d60c7cd0b001e8a87869e241531ae3963a56,False
