variant,method,context_size,overlapping_context_draw_count,pretraining_pool_events,peak_region_mean_mae_percentage_points_mean,peak_region_mean_mae_percentage_points_context_sd,continuum_region_mean_mae_percentage_points_mean,continuum_region_mean_mae_percentage_points_context_sd,sparse_tail_mae_percentage_points_mean,sparse_tail_mae_percentage_points_context_sd,global_brier_mean,global_brier_context_sd,equal_region_brier_mean,equal_region_brier_context_sd
context_only,Gaussian kernel regression (context only),250,10,0,10.891239541459717,2.816543047554579,10.235290851995046,3.9545066576688073,16.62722325022756,6.822682580133269,0.23573496565981786,0.004393627917005063,0.21666662276670445,0.008284548169765848
context_only,Gaussian kernel regression (context only),500,10,0,9.61218155879795,1.2886809960846743,6.466679664570973,2.0183415873091444,17.97985182883368,6.487354912174876,0.2319503480285876,0.0012064204770522466,0.21226352303496926,0.005285536493052871
context_only,Gaussian kernel regression (context only),1000,10,0,8.541751283592934,0.89372812019055,6.664120536717755,2.3633173127164784,17.87288259034655,4.871028259281283,0.2307675227685187,0.000967776887166388,0.210179939728401,0.0031987349217464816
context_only,Gaussian kernel regression (context only),2000,10,0,7.7874560899840946,0.9627927132056586,5.137602364240143,1.1409966897725061,13.915815806398376,5.528320421986127,0.22946894750605312,0.0003422373462110231,0.20623369184765256,0.0028848903281097943
pooled_data,Gaussian kernel regression (pooled data + context),250,10,18866,7.855347856134175,0.5517719706256117,4.236098812329468,0.6084886716990402,2.6374011629620506,4.9739079953525814e-05,0.22623174593484102,0.0005604201543535532,0.1934152394261289,0.0025062063049796357
pooled_data,Gaussian kernel regression (pooled data + context),500,10,18866,7.767667168831652,0.36654112452564386,4.056189597047574,0.24837185792441516,2.992879059961553,1.124069148901961,0.2264527320205237,0.0008904344347959276,0.1948099617543167,0.0033308983665999597
pooled_data,Gaussian kernel regression (pooled data + context),1000,10,18866,7.8484541607580285,0.3227375564130277,4.080078021993804,0.2321906603871075,2.6373929757275993,4.885362714882192e-05,0.22593552612820958,0.0006165494591792093,0.192831086121049,0.002376491615182378
pooled_data,Gaussian kernel regression (pooled data + context),2000,10,18866,7.828021146410987,0.38285469566825175,4.163111457870921,0.28919153626838173,2.6373626373626378,4.681111291435602e-16,0.22557820639840176,0.00022492284251247663,0.1914795167035789,0.0006980229450322291
