method,architecture_id,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,0,101,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027509128606739708,28.500657389001937
CNP,m0,0,101,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.412928613963523,2.070683981043925
CNP,m0,0,102,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029342810620713866,20.989314527376955
CNP,m0,0,102,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02983360954100789,25.57699194267936
CNP,m0,0,102,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02740549293280825,28.500553753328006
CNP,m0,0,102,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41823808650203464,2.065374508505413
CNP,m0,0,103,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.02890509047641654,20.989752247521253
CNP,m0,0,103,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028329310372354755,25.57548764351071
CNP,m0,0,103,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02701053717444335,28.50015879756964
CNP,m0,0,103,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41381649787662067,2.069796097130827
CNP,m0,0,104,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029365300793371407,20.9892920372043
CNP,m0,0,104,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028301078493808696,25.575459411632163
CNP,m0,0,104,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027518745253896082,28.500667005649095
CNP,m0,0,104,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41162961232159845,2.0719829826858494
CNP,m0,0,105,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.028815228923939618,20.98984210907373
CNP,m0,0,105,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02934359015143162,25.576501923289786
CNP,m0,0,105,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027219176176396243,28.500367436571594
CNP,m0,0,105,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4167540388956059,2.0668585561118418
CNP,m0,0,106,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0290914629521688,20.9895658750455
CNP,m0,0,106,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02929074267514764,25.5764490758135
CNP,m0,0,106,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027312727614514642,28.500460988009714
CNP,m0,0,106,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4156088884776088,2.068003706529839
CNP,m0,0,107,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.028999677534524704,20.989657660463145
CNP,m0,0,107,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02861775893991947,25.57577609207827
CNP,m0,0,107,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027030169943764726,28.500178430338963
CNP,m0,0,107,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4150419382149523,2.0685706567924953
CNP,m0,0,108,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.028666197251414616,20.989991140746255
CNP,m0,0,108,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028496265482091943,25.575654598620446
CNP,m0,0,108,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027224955016558194,28.500373215411756
CNP,m0,0,108,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4140243403068733,2.0695882547005744
CNP,m0,0,109,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029149793098359744,20.98950754489931
CNP,m0,0,109,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.029457135441091076,25.576615468579444
CNP,m0,0,109,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027381100620282872,28.50052936101548
CNP,m0,0,109,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41608179117323396,2.067530803834214
CNP,m0,0,100,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029093504977217854,20.98956383302045
CNP,m0,0,100,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.029108386587506363,25.576266719725858
CNP,m0,0,100,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027482500943221133,28.50063076133842
CNP,m0,0,100,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4163112880343156,2.0673013069731323
CNP,m0,0,101,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029538677254759005,20.98911866074291
CNP,m0,0,101,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02892397334748331,25.576082306485837
CNP,m0,0,101,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02797158577148018,28.501119846166677
CNP,m0,0,101,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4150402428083816,2.068572352199066
CNP,m0,0,102,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029310589777564733,20.989346748220107
CNP,m0,0,102,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02914808569879357,25.57630641883715
CNP,m0,0,102,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02797930688358541,28.501127567278782
CNP,m0,0,102,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4176180210721525,2.065994573935295
CNP,m0,0,103,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.028858866262693184,20.98979847173498
CNP,m0,0,103,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028516750603291285,25.575675083741643
CNP,m0,0,103,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027077379403006585,28.500225639798206
CNP,m0,0,103,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41449307679572167,2.069119518211726
CNP,m0,0,104,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.028834803100963313,20.989822534896707
CNP,m0,0,104,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028375779015576974,25.57553411215393
CNP,m0,0,104,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027159309043511826,28.50030756943871
CNP,m0,0,104,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41409544928090736,2.0695171457265404
CNP,m0,0,105,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029015284041566947,20.989642053956103
CNP,m0,0,105,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028841540720925263,25.575999873859278
CNP,m0,0,105,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02719341189166835,28.500341672286865
CNP,m0,0,105,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41537798524016456,2.0682346097672832
CNP,m0,0,106,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.02894423442191263,20.98971310357576
CNP,m0,0,106,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02863017630739817,25.57578850944575
CNP,m0,0,106,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02756187793359066,28.500710138328788
CNP,m0,0,106,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41527296067514763,2.0683396343323004
CNP,m0,0,107,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029184237338508723,20.98947310065916
CNP,m0,0,107,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.029073302478588303,25.576231635616942
CNP,m0,0,107,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027807950056257802,28.500956210451456
CNP,m0,0,107,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4156805950807363,2.0679319999267114
CNP,m0,0,108,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.02910151974785391,20.989555818249816
CNP,m0,0,108,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02873215651115757,25.57589048964951
CNP,m0,0,108,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027377838604547566,28.500526098999746
CNP,m0,0,108,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.41435218839295795,2.06926040661449
CNP,m0,0,109,1000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.02901133218869978,20.98964600580897
CNP,m0,0,109,1000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.029414105742531227,25.576572438880884
CNP,m0,0,109,1000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02745450733790955,28.500602767733106
CNP,m0,0,109,1000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.417342586815575,2.066270008191873
CNP,m0,0,100,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029087789925774654,20.989569548071895
