context_seed,development_selected_bandwidth_kev,global_brier,equal_region_brier,minimum_effective_n,median_effective_n
100,100.0,0.2295768304184844,0.20862803260420357,1.4699339942762262,271.6552312828029
101,50.0,0.22963014234370685,0.2023721439134037,1.0427329122446845,182.54520494009057
102,100.0,0.229261963748313,0.20468656787518721,22.125206740885936,260.05935404021056
103,100.0,0.22944572838765412,0.21063845939297493,2.0641385438347144,271.02975278182834
104,100.0,0.22988013026233797,0.20874874471321372,3.396943461170643,271.1507017071515
105,100.0,0.22896388868443526,0.20742808688077782,2.2750523193436316,271.28432872992255
106,50.0,0.2290799490353916,0.20148746415966695,1.031001432782643,164.3616834359422
107,100.0,0.22958165166563976,0.20717399754843638,2.2511896053831055,260.4411337626201
108,50.0,0.2300408449608317,0.20606798416708347,2.1576394638277314,173.54857949151588
109,50.0,0.22922834555373683,0.20510543722157798,1.0000000000920988,142.56315091952442
