status,method,estimator_family,context_size,classifier_training_unique_events,acceptance_pretraining_unique_events,final_target_events,replication,peak_mae_percentage_points_mean,peak_training_seed_sd,peak_context_sd,continuum_mae_percentage_points_mean,continuum_training_seed_sd,continuum_context_sd,sparse_tail_mae_percentage_points_mean,global_brier_mean,information_budget_note
completed,CNP,pretrained neural,250,18866,18866,114400,3 training seeds x 10 overlapping contexts,7.9750909473000045,0.3277621659854268,0.048539293881573777,4.542815154581908,0.05664634221089734,0.07826164976045853,8.58900493370495,0.23323903530241416,conditional on classifier and acceptance-model pretraining
completed,CNP,pretrained neural,500,18866,18866,114400,3 training seeds x 10 overlapping contexts,7.993373282596418,0.34858852760049286,0.044020856018417966,4.585335300822202,0.022054854431297836,0.07128329878996181,8.438205797362627,0.23312316145635728,conditional on classifier and acceptance-model pretraining
completed,CNP,pretrained neural,1000,18866,18866,114400,3 training seeds x 10 overlapping contexts,8.01062920585822,0.36106122412216457,0.0558680744554608,4.630062433167733,0.01906353367594258,0.1064103358346483,8.317167762921654,0.23301693599986126,conditional on classifier and acceptance-model pretraining
completed,CNP,pretrained neural,2000,18866,18866,114400,3 training seeds x 10 overlapping contexts,7.992557151983725,0.35847174286954553,0.02532241508300351,4.591841123566654,0.014445785803717914,0.04508115892919413,8.39830772485677,0.23307697074417655,conditional on classifier and acceptance-model pretraining
completed,Attentive CNP,pretrained neural,250,18866,18866,114400,3 training seeds x 10 overlapping contexts,8.265562226108633,0.3302433081897074,0.031390872932533835,5.5379504844476655,0.7145383473909512,0.045609845767612484,7.867177482905826,0.23232409070317428,conditional on classifier and acceptance-model pretraining
completed,Attentive CNP,pretrained neural,500,18866,18866,114400,3 training seeds x 10 overlapping contexts,8.245080586830714,0.32120731487428617,0.02488480808010661,5.533277345664222,0.6987334735613197,0.03991856778854099,7.814261165136831,0.23233775895968892,conditional on classifier and acceptance-model pretraining
completed,Attentive CNP,pretrained neural,1000,18866,18866,114400,3 training seeds x 10 overlapping contexts,8.266019905625129,0.31962001727310596,0.023473246439017492,5.5400279554963765,0.6892904826765043,0.040517806887840284,7.813542543062117,0.23234586764978418,conditional on classifier and acceptance-model pretraining
completed,Attentive CNP,pretrained neural,2000,18866,18866,114400,3 training seeds x 10 overlapping contexts,8.2572600553764,0.30981542831859665,0.01134168355694947,5.529759071294329,0.6902306458673091,0.01680071117938811,7.8934816675138295,0.23235095182060486,conditional on classifier and acceptance-model pretraining
completed,Attentive CNP + PE,pretrained neural,250,18866,18866,114400,3 training seeds x 10 overlapping contexts,5.703771405838448,0.9834407814213223,0.36778266713904606,6.919744554857246,0.80650542768299,0.6466600021744336,23.870127129144652,0.2288162747555308,conditional on classifier and acceptance-model pretraining
completed,Attentive CNP + PE,pretrained neural,500,18866,18866,114400,3 training seeds x 10 overlapping contexts,5.996050425376527,1.0779570013491184,0.46801772321862695,7.379996005228072,0.8645093062068547,0.7542098683413786,23.24683771189753,0.2292065755313943,conditional on classifier and acceptance-model pretraining
completed,Attentive CNP + PE,pretrained neural,1000,18866,18866,114400,3 training seeds x 10 overlapping contexts,6.270898602511686,1.0787512912562232,0.5812927481897514,7.7425552787974725,0.9405922654794,0.9385460737315654,22.680215414473853,0.22954193566933276,conditional on classifier and acceptance-model pretraining
completed,Attentive CNP + PE,pretrained neural,2000,18866,18866,114400,3 training seeds x 10 overlapping contexts,6.057277250041969,1.0694126252374498,0.21757173676531158,7.383292987841387,0.9305923006236939,0.33162624915011835,23.18867779345307,0.229213760538345,conditional on classifier and acceptance-model pretraining
completed,Density-guided CNP (ours),pretrained neural,250,18866,18866,114400,3 training seeds x 10 overlapping contexts,3.68238911222022,0.3618148170829963,0.3523234433213526,4.065968407996819,0.12028687580000368,0.10361086684264954,14.657439407712884,0.22369287916976818,conditional on classifier and acceptance-model pretraining
completed,Density-guided CNP (ours),pretrained neural,500,18866,18866,114400,3 training seeds x 10 overlapping contexts,3.5565860653454764,0.33220474658131,0.1641239909941703,4.072397312596024,0.10909678675255599,0.051986637545312187,14.701375968868163,0.22367321218326183,conditional on classifier and acceptance-model pretraining
completed,Density-guided CNP (ours),pretrained neural,1000,18866,18866,114400,3 training seeds x 10 overlapping contexts,3.5677204332400954,0.3600588588704643,0.19342529314670479,4.084052823907997,0.11670345074072448,0.05312959849482382,13.94298424336246,0.2236688743595159,conditional on classifier and acceptance-model pretraining
completed,Density-guided CNP (ours),pretrained neural,2000,18866,18866,114400,3 training seeds x 10 overlapping contexts,3.4800114833702267,0.31915748423366846,0.07448786703122286,4.081856547157202,0.10919695431590487,0.018061478361618224,11.931524050598625,0.22364597352673887,conditional on classifier and acceptance-model pretraining
completed,Gaussian kernel regression (context only),Gaussian kernel probability estimator,250,18866,0,114400,10 overlapping contexts,10.891239541459717,,2.816543047554579,10.235290851995046,,3.9545066576688073,16.62722325022756,0.23573496565981786,context only; no acceptance pretraining
completed,Gaussian kernel regression (context only),Gaussian kernel probability estimator,500,18866,0,114400,10 overlapping contexts,9.61218155879795,,1.2886809960846743,6.466679664570973,,2.0183415873091444,17.97985182883368,0.2319503480285876,context only; no acceptance pretraining
completed,Gaussian kernel regression (context only),Gaussian kernel probability estimator,1000,18866,0,114400,10 overlapping contexts,8.541751283592934,,0.89372812019055,6.664120536717755,,2.3633173127164784,17.87288259034655,0.2307675227685187,context only; no acceptance pretraining
completed,Gaussian kernel regression (context only),Gaussian kernel probability estimator,2000,18866,0,114400,10 overlapping contexts,7.7874560899840946,,0.9627927132056586,5.137602364240143,,1.1409966897725061,13.915815806398376,0.22946894750605312,context only; no acceptance pretraining
completed,Gaussian kernel regression (pooled data + context),Gaussian kernel probability estimator,250,18866,18866,114400,10 overlapping contexts,7.855347856134175,,0.5517719706256117,4.236098812329468,,0.6084886716990402,2.6374011629620506,0.22623174593484102,pooled acceptance-training events plus context
completed,Gaussian kernel regression (pooled data + context),Gaussian kernel probability estimator,500,18866,18866,114400,10 overlapping contexts,7.767667168831652,,0.36654112452564386,4.056189597047574,,0.24837185792441516,2.992879059961553,0.2264527320205237,pooled acceptance-training events plus context
completed,Gaussian kernel regression (pooled data + context),Gaussian kernel probability estimator,1000,18866,18866,114400,10 overlapping contexts,7.8484541607580285,,0.3227375564130277,4.080078021993804,,0.2321906603871075,2.6373929757275993,0.22593552612820958,pooled acceptance-training events plus context
completed,Gaussian kernel regression (pooled data + context),Gaussian kernel probability estimator,2000,18866,18866,114400,10 overlapping contexts,7.828021146410987,,0.38285469566825175,4.163111457870921,,0.28919153626838173,2.6373626373626378,0.22557820639840176,pooled acceptance-training events plus context
pilot_only_campaign_stopped_by_cost_gate,Gaussian-process probability estimator,dense Bernoulli GP with Laplace approximation,2000,18866,0,114400,one RBF timing pilot; no final scoring,,,,,,,,,context only; final campaign requires amended-protocol approval
