method,architecture_id,training_budget,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,18866,1,101,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0083455766222151,21.027002914619885
CNP,m0,18866,1,101,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0222569479333745,25.569415281071727
CNP,m0,18866,1,101,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0273055029492486,28.44584275744595
CNP,m0,18866,1,101,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4489094597023679,2.03470313530508
CNP,m0,18866,1,102,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0080419201276549,21.026699258125326
CNP,m0,18866,1,102,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0220938540710813,25.56925218720944
CNP,m0,18866,1,102,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0269273283557303,28.446220932039463
CNP,m0,18866,1,102,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4452334889273407,2.0383791060801077
CNP,m0,18866,1,103,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0096065540672873,21.02826389206496
CNP,m0,18866,1,103,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0229533835518602,25.570111716690214
CNP,m0,18866,1,103,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.028491870450964,28.444656389944235
CNP,m0,18866,1,103,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4563640244975381,2.0272485705099097
CNP,m0,18866,1,104,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0091914381895819,21.02784877618725
CNP,m0,18866,1,104,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0225369422047094,25.56969527534306
CNP,m0,18866,1,104,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0279261431769595,28.44522211721824
CNP,m0,18866,1,104,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4501053903999796,2.033507204607468
CNP,m0,18866,1,105,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.009131604177881,21.02778894217555
CNP,m0,18866,1,105,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0227173368970601,25.56987567003541
CNP,m0,18866,1,105,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0281253417779736,28.445022918617223
CNP,m0,18866,1,105,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4510652226736633,2.0325473723337844
CNP,m0,18866,1,106,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0086776755580109,21.02733501355568
CNP,m0,18866,1,106,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0226189034695178,25.56977723660787
CNP,m0,18866,1,106,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0275084809372216,28.445639779457977
CNP,m0,18866,1,106,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4492082553512633,2.0344043396561844
CNP,m0,18866,1,107,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0093079619438496,21.02796529994152
CNP,m0,18866,1,107,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0226691486576724,25.569827481796025
CNP,m0,18866,1,107,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0278346226097236,28.445313637785475
CNP,m0,18866,1,107,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.453992470505693,2.0296201245017547
CNP,m0,18866,1,108,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0095231508351667,21.02818048883284
CNP,m0,18866,1,108,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0225854208380393,25.569743753976397
CNP,m0,18866,1,108,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0284039267819946,28.444744333613205
CNP,m0,18866,1,108,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4570676236262588,2.026544971381189
CNP,m0,18866,1,109,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0085972580278648,21.027254596025536
CNP,m0,18866,1,109,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0224813803137657,25.56963971345212
CNP,m0,18866,1,109,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0275141911617149,28.445634069233485
CNP,m0,18866,1,109,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.4465569524157303,2.037055642591717
CNP,m0,18866,2,100,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0140134737313779,21.00464386426629
CNP,m0,18866,2,100,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0204387662870231,25.567597099425377
