mode,mode_label,region_id,training_seeds,contexts_per_seed,passing_count_difference_all_events_mean,passing_count_difference_all_events_across_seed_sd,passing_count_difference_all_events_mean_within_seed_context_sd,efficiency_difference_pp_all_events_mean,efficiency_difference_pp_all_events_across_seed_sd,efficiency_difference_pp_all_events_mean_within_seed_context_sd,weighted_bin_MAE_pp_supported_mean,weighted_bin_MAE_pp_supported_across_seed_sd,weighted_bin_MAE_pp_supported_mean_within_seed_context_sd,C1_percent_mean,C1_percent_across_seed_sd,C1_percent_mean_within_seed_context_sd,C2_percent_mean,C2_percent_across_seed_sd,C2_percent_mean_within_seed_context_sd,C3_percent_mean,C3_percent_across_seed_sd,C3_percent_mean_within_seed_context_sd
full_density,Full density guidance,overall,3,10,-915.0177781420163,941.950401286546,315.65843926162785,-0.799840715159105,0.8233832179078199,0.27592520914477964,4.288864541831844,0.41636581801054134,0.12769348716637746,47.57918552036199,1.3028217238812676,1.7613585149312068,79.50980392156862,1.3590362964509897,1.2250946442029296,93.41628959276018,0.11312217194570451,1.103297759648455
full_density,Full density guidance,DEP_core,3,10,-14.255719690422223,7.700341363923954,3.8736166266403544,-1.7217052766210414,0.9299929183483037,0.4678280950048738,1.7683534566365313,0.3410096341616002,0.42416239906658565,40.0,17.320508075688775,8.606629658238704,100.0,0.0,0.0,100.0,0.0,0.0
full_density,Full density guidance,feature_1620_core,3,10,61.4395016662528,6.477482991615125,5.522332730714013,7.777152109652255,0.81993455590065,0.6990294595840524,9.984571551566763,0.4067147645062138,0.22462939940810703,21.666666666666668,25.65800719723442,8.050764858994134,50.0,0.0,0.0,50.0,0.0,0.0
full_density,Full density guidance,SE_core,3,10,-1.5110651670062591,27.812410133574435,5.8490686392552504,-0.11143548429249688,2.051062694216404,0.43134724478283554,4.314520501450069,1.8511834602258015,0.3500221328716317,8.333333333333334,14.433756729740644,8.784104611578831,16.666666666666668,28.867513459481287,0.0,76.66666666666667,25.16611478423583,8.606629658238704
full_density,Full density guidance,FE_core,3,10,-333.24689716307745,303.1018919804416,129.59703947405532,-3.9104306167927425,3.556699037555053,1.5207350325516937,4.411136562748727,2.784152611778882,1.1921541667225624,11.666666666666666,20.207259421636902,8.050764858994134,13.333333333333334,23.09401076758503,7.027283689263065,23.333333333333332,36.17089069035118,16.519605395456512
full_density,Full density guidance,DEP_broad,3,10,-30.307834060152377,7.3012782385200685,4.860133102987703,-2.3458075897950756,0.5651144147461352,0.37617129280090583,2.7830132484736367,0.07244487021618666,0.28784522596143086,62.77777777777777,6.735753140545628,3.749714209503082,83.33333333333334,0.0,1.4979556132593925e-14,100.0,0.0,0.0
full_density,Full density guidance,feature_1620_broad,3,10,22.790531653945635,4.650678248847851,6.501610073013109,1.7122863752025268,0.3494123402590423,0.4884755877545537,8.581059068173879,0.19893262799341427,0.08054869934415325,39.44444444444445,8.388704928078614,6.197230130962908,50.0,0.0,0.0,83.33333333333334,0.0,1.4979556132593925e-14
full_density,Full density guidance,SE_broad,3,10,-44.14839250115197,27.48645319237365,6.251274874973364,-2.193164058676203,1.365447252477578,0.31054519994899976,4.3731674184184,1.162142927514106,0.23890076826544984,36.11111111111111,4.811252243246887,2.928034870526281,66.66666666666667,16.66666666666667,9.986370755062616e-15,92.22222222222223,8.388704928078605,2.86887655274624
full_density,Full density guidance,FE_broad,3,10,-319.8160460209144,309.1353781787446,134.09390424603484,-3.6659335857509685,3.5435050226816207,1.5370690537142921,4.3828332196078845,2.637143550673961,1.1276378577622597,48.666666666666664,5.773502691896258,10.669611807907941,62.0,3.4641016151377544,3.220305943597653,69.33333333333333,14.46835627614047,6.6078421581826055
full_density,Full density guidance,continuum_1700_2000,3,10,60.42352766615149,116.85686200853073,12.073144547877435,0.7341862413870169,1.41988896729685,0.1466967745793127,4.427232920766939,0.3047436927301228,0.0541756837314174,53.22222222222222,3.5758966759453537,1.1689439735920795,88.16666666666667,1.3228756555322871,1.013223260688082,99.44444444444446,0.9622504486493708,4.993185377531308e-15
