subset_id,nominal_budget,sampling_eligible_budget,density_buffer_budget,region_id,nominal_region_events,sampling_eligible_region_events,density_buffer_region_events,subset_file_sha256
seed20260910_n5000,5000,4981,5000,feature_1620_broad,41,41,41,8aee20a670da1d0685cd3a172093bd6dfc985379cc413bfa0e8117afafdda7fe
seed20260910_n5000,5000,4981,5000,SE_broad,74,74,74,8aee20a670da1d0685cd3a172093bd6dfc985379cc413bfa0e8117afafdda7fe
seed20260910_n5000,5000,4981,5000,FE_broad,386,385,386,8aee20a670da1d0685cd3a172093bd6dfc985379cc413bfa0e8117afafdda7fe
seed20260910_n5000,5000,4981,5000,continuum_1700_2000,351,351,351,8aee20a670da1d0685cd3a172093bd6dfc985379cc413bfa0e8117afafdda7fe
seed20260910_n5000,5000,4981,5000,continuum_2200_2400,403,403,403,8aee20a670da1d0685cd3a172093bd6dfc985379cc413bfa0e8117afafdda7fe
seed20260910_n5000,5000,4981,5000,sparse_tail_2700_3000,8,0,8,8aee20a670da1d0685cd3a172093bd6dfc985379cc413bfa0e8117afafdda7fe
seed20260911_n5000,5000,4980,5000,overall,5000,4980,5000,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,DEP_core,38,38,38,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,feature_1620_core,28,28,28,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,SE_core,52,52,52,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,FE_core,374,374,374,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,DEP_broad,62,62,62,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,feature_1620_broad,43,43,43,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,SE_broad,84,84,84,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,FE_broad,383,383,383,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,continuum_1700_2000,385,385,385,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,continuum_2200_2400,369,369,369,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
seed20260911_n5000,5000,4980,5000,sparse_tail_2700_3000,4,0,4,e0305c3d8c8677c53c3f1e1967767ad6d19f118d1f2b10c36d37533f2fe06013
full_n18866,18866,18836,18866,overall,18866,18836,18866,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,DEP_core,136,136,136,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,feature_1620_core,121,121,121,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,SE_core,202,202,202,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,FE_core,1409,1409,1409,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,DEP_broad,213,213,213,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,feature_1620_broad,188,188,188,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,SE_broad,313,313,313,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,FE_broad,1437,1435,1437,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,continuum_1700_2000,1363,1363,1363,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,continuum_2200_2400,1461,1461,1461,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
full_n18866,18866,18836,18866,sparse_tail_2700_3000,22,0,22,ea2eb5594acdd181ebc18926fd8deabc7b2f6910b117dec863d87c3b70057159
