aggregation_level,left_mode,right_mode,estimand,region_id,training_seed,component_count,C1_difference_pp_left_minus_right_mean,C1_difference_pp_left_minus_right_descriptive_sd,C2_difference_pp_left_minus_right_mean,C2_difference_pp_left_minus_right_descriptive_sd,C3_difference_pp_left_minus_right_mean,C3_difference_pp_left_minus_right_descriptive_sd,weighted_MAE_difference_pp_left_minus_right_mean,weighted_MAE_difference_pp_left_minus_right_descriptive_sd,efficiency_difference_contrast_pp_left_minus_right_mean,efficiency_difference_contrast_pp_left_minus_right_descriptive_sd
contexts_within_seed,full_density,global_gate,adaptive decoder gate,peaks_equal_four_cores,0,10,-7.5,6.454972243679028,12.5,0.0,33.75,8.43685697138191,-7.985994068164386,0.15963175057862944,,
contexts_within_seed,full_density,global_gate,adaptive decoder gate,continuum_equal_two_windows,0,10,5.708333333333331,1.5472247157370684,4.541666666666671,0.9306591982083833,2.7083333333333144,0.6588078458684123,-0.8010473367200361,0.04267630301121871,,
contexts_within_seed,full_density,global_gate,adaptive decoder gate,overall,0,10,4.389140271493212,1.1981222991393976,0.723981900452489,0.6557184048049516,1.402714932126696,0.6469867447821189,-0.3561818471266915,0.02833202932487424,-0.041455156223695444,0.03862946786599726
contexts_within_seed,full_density,global_gate,adaptive decoder gate,sparse_tail_2700_3000,0,10,-8.461538461538462,5.675882979789398,-23.076923076923077,12.561485860426554,-26.153846153846153,19.92754792587225,7.217137591531367,2.751238432465396,8.005749926429125,3.1484836240199536
contexts_within_seed,full_density,global_gate,adaptive decoder gate,FE_core,0,10,0.0,0.0,0.0,0.0,5.0,15.811388300841896,0.96041516486992,0.07048768377977452,-1.0708764097516057,0.06820112310835129
contexts_within_seed,full_density,global_gate,adaptive decoder gate,SE_core,0,10,0.0,0.0,-50.0,0.0,30.0,25.81988897471611,-1.8202346411611825,0.44342969626279133,-6.996361151874335,0.42138118912511735
contexts_within_seed,full_density,global_gate,adaptive decoder gate,DEP_core,0,10,-30.0,25.81988897471611,50.0,0.0,50.0,0.0,-21.875658813846957,0.22746068554610244,21.950481846280717,0.2548167670444745
contexts_within_seed,full_density,global_gate,adaptive decoder gate,feature_1620_core,0,10,0.0,0.0,50.0,0.0,50.0,0.0,-9.208497982519322,0.41059179059349216,-12.275785694857941,0.14260807359622021
contexts_within_seed,full_density,global_gate,adaptive decoder gate,peaks_equal_four_cores,1,10,3.75,6.0380736442456,25.0,0.0,25.0,0.0,-6.7095792924953255,0.20874844681686489,,
contexts_within_seed,full_density,global_gate,adaptive decoder gate,continuum_equal_two_windows,1,10,12.25,1.391663894430598,8.666666666666666,1.207614728849124,4.833333333333329,0.4890782461571965,-1.0318075015092851,0.0639340561343683,,
